id,outcode,latitude,longitude
196,BS48,51.420443,-2.732437
197,BS49,51.37468,-2.809159
198,BS5,51.463825,-2.549900
199,BS6,51.473759,-2.597623
200,BS7,51.486629,-2.580236
201,BS8,51.45552,-2.655662
202,BS80,51.521874,-2.572469
203,BS9,51.485602,-2.621438
204,BS98,51.459068,-2.581532
205,BS99,51.458,-2.573
206,BT1,54.601176,-5.925854
207,BT10,54.55807,-5.988757
208,BT11,54.577625,-5.999892
209,BT12,54.587395,-5.966411
210,BT13,54.610526,-5.962510
211,BT14,54.631355,-5.996693
212,BT15,54.639727,-5.944350
213,BT16,54.594316,-5.794319
214,BT17,54.563774,-6.022777
215,BT18,54.641514,-5.808907
216,BT19,54.64479,-5.668396
217,BT2,54.592745,-5.929459
218,BT20,54.655902,-5.664178
219,BT21,54.637195,-5.567919
220,BT22,54.479397,-5.540166
221,BT23,54.539753,-5.737487
222,BT24,54.407121,-5.876774
223,BT25,54.378729,-6.112343
224,BT26,54.448195,-6.058486
225,BT27,54.494518,-6.011254
226,BT28,54.53944,-6.156332
227,BT29,54.599378,-6.177550
228,BT3,54.617316,-5.893673
229,BT30,54.344105,-5.715785
230,BT31,54.277897,-6.010497
231,BT32,54.450271,-6.017143
232,BT33,54.344555,-5.920986
233,BT34,54.151208,-6.115586
234,BT35,54.563346,-6.349597
235,BT36,54.685324,-5.968416
236,BT37,54.676885,-5.906051
237,BT38,54.745347,-5.797671
238,BT39,54.736919,-6.008689
239,BT4,54.585972,-5.870517
240,BT40,54.841795,-5.819685
241,BT41,54.744728,-6.314515
242,BT42,54.851127,-6.232238
243,BT43,54.929872,-6.231816
244,BT44,54.976183,-6.241405
245,BT45,54.821811,-6.879628
246,BT46,54.876236,-6.662092
247,BT47,54.937415,-7.045536
248,BT48,55.00947,-7.330904
249,BT49,55.071154,-6.954062
250,BT5,54.577868,-5.864110
251,BT51,55.021468,-6.684472
252,BT52,55.070081,-6.629119
253,BT53,55.085,-6.473
254,BT54,55.2,-6.258
255,BT55,55.18,-6.71
256,BT56,55.198,-6.649
257,BT57,55.202,-6.517
258,BT6,54.569974,-5.881813
259,BT60,54.27765,-6.656328
260,BT61,54.368,-6.623
261,BT62,54.412,-6.464
262,BT63,54.404,-6.389
263,BT64,54.45,-6.392
264,BT65,54.445,-6.366
265,BT66,54.455,-6.333
266,BT67,54.487,-6.268
267,BT68,54.366,-6.848
268,BT69,54.424,-6.949
269,BT7,54.580174,-5.925269
270,BT70,54.515,-6.887
271,BT71,54.510887,-6.664113
272,BT74,54.343,-7.665
273,BT75,54.369185,-7.298166
274,BT76,54.419,-7.191
275,BT77,54.427,-7.117
276,BT78,54.571,-7.374
277,BT79,54.624,-7.201
278,BT8,54.532095,-5.939289
279,BT80,54.645,-6.748
280,BT81,54.694,-7.614
281,BT82,54.826,-7.427
282,BT9,54.569516,-5.955895
283,BT92,54.223,-7.462
284,BT93,54.465,-7.826
285,BT94,54.376,-7.541
286,CA1,54.884411,-2.913138
287,CA10,54.611,-2.659
288,CA11,54.664,-2.786
289,CA12,54.602,-3.133
290,CA13,54.66,-3.366
291,CA14,54.62389,-3.496364
292,CA15,54.712,-3.481
293,CA16,54.574,-2.483
294,CA17,54.479,-2.35
295,CA18,54.354,-3.39
296,CA19,54.387,-3.382
297,CA2,54.884,-2.949
298,CA20,54.41,-3.461
299,CA21,54.445,-3.515
300,CA22,54.48,-3.531
301,CA23,54.514,-3.493
302,CA24,54.515,-3.542
303,CA25,54.523,-3.517
304,CA26,54.544,-3.481
305,CA27,54.491,-3.592
306,CA28,54.54505,-3.583306
307,CA3,54.907,-2.939
308,CA4,54.83682,-2.804464
309,CA5,54.855,-3.015
310,CA6,54.994,-2.892
311,CA7,54.807,-3.237
312,CA8,54.939,-2.685
313,CA9,54.802,-2.419
314,CA95,54.644668,-3.56645
315,CB1,52.196481,0.063253
316,CB10,52.031704,0.288008
317,CB11,52.000225,0.191351
318,CB2,52.188521,0.127030
319,CB21,52.127166,0.272036
320,CB22,52.142087,0.125502
321,CB23,52.212508,-0.002369
322,CB24,52.274212,0.071859
323,CB25,52.268824,0.247153
324,CB3,52.212449,0.102385
325,CB4,52.223021,0.135567
326,CB5,52.21899,0.152101
327,CB6,52.404,0.224
328,CB7,52.382019,0.351405
329,CB8,52.222012,0.446478
330,CB9,52.084317,0.445598
331,CF10,51.473451,-3.165409
332,CF11,51.469015,-3.198052
333,CF14,51.524243,-3.193911
334,CF15,51.542365,-3.287235
335,CF23,51.517722,-3.151578
336,CF24,51.484402,-3.160073
337,CF3,51.531671,-3.097827
338,CF30,51.519635,-3.119562
339,CF31,51.510827,-3.570723
340,CF32,51.534454,-3.595119
341,CF33,51.52722,-3.649109
342,CF34,51.608871,-3.647570
343,CF35,51.524525,-3.530609
344,CF36,51.488946,-3.701341
345,CF37,51.613122,-3.341666
346,CF38,51.571102,-3.328536
347,CF39,51.599351,-3.434467
348,CF40,51.616378,-3.455906
349,CF41,51.648606,-3.479228
350,CF42,51.667744,-3.530892
351,CF43,51.656878,-3.458452
352,CF44,51.747777,-3.500599
353,CF45,51.670291,-3.360548
354,CF46,51.67177,-3.295801
