"AB101NN",10,393725,806259,"S92000003","","S08000020","","S12000033","S13002841"
"AB101NP",10,393694,806293,"S92000003","","S08000020","","S12000033","S13002841"
"AB101NT",10,393267,805744,"S92000003","","S08000020","","S12000033","S13002844"
"AB101NW",10,392709,805764,"S92000003","","S08000020","","S12000033","S13002844"
"AB101PA",10,393572,805942,"S92000003","","S08000020","","S12000033","S13002841"
"AB101PD",10,393486,805888,"S92000003","","S08000020","","S12000033","S13002841"
"AB101PE",10,393279,806200,"S92000003","","S08000020","","S12000033","S13002841"
"AB101PF",10,393317,806264,"S92000003","","S08000020","","S12000033","S13002841"
"AB101PG",10,393411,806284,"S92000003","","S08000020","","S12000033","S13002841"
"AB101PN",10,393131,806019,"S92000003","","S08000020","","S12000033","S13002841"
"AB101PP",10,392967,806046,"S92000003","","S08000020","","S12000033","S13002844"
"AB101PR",10,393784,806061,"S92000003","","S08000020","","S12000033","S13002841"
"AB101PS",10,393163,805812,"S92000003","","S08000020","","S12000033","S13002841"
"AB101PU",10,393238,805908,"S92000003","","S08000020","","S12000033","S13002841"
"AB101PY",10,392544,805768,"S92000003","","S08000020","","S12000033","S13002844"
"AB101QA",10,393166,806034,"S92000003","","S08000020","","S12000033","S13002841"
"AB101QB",10,393104,805894,"S92000003","","S08000020","","S12000033","S13002844"
"AB101QD",10,393583,806300,"S92000003","","S08000020","","S12000033","S13002841"
"AB101QE",10,393544,806324,"S92000003","","S08000020","","S12000033","S13002841"
"AB101QH",10,393377,806177,"S92000003","","S08000020","","S12000033","S13002841"
"AB101QJ",10,393338,806178,"S92000003","","S08000020","","S12000033","S13002841"
"AB101QL",10,393288,806160,"S92000003","","S08000020","","S12000033","S13002841"
"AB101QN",10,393210,806111,"S92000003","","S08000020","","S12000033","S13002841"
"AB101QQ",10,393347,806245,"S92000003","","S08000020","","S12000033","S13002841"
"AB101QR",10,394119,806211,"S92000003","","S08000020","","S12000033","S13002842"
"AB101QS",10,393702,806039,"S92000003","","S08000020","","S12000033","S13002841"
"AB101QT",10,393821,806076,"S92000003","","S08000020","","S12000033","S13002841"
"AB101QU",10,393826,806098,"S92000003","","S08000020","","S12000033","S13002841"
"AB101QW",10,393240,805834,"S92000003","","S08000020","","S12000033","S13002841"
"AB101QX",10,393851,806090,"S92000003","","S08000020","","S12000033","S13002841"
"AB101QZ",10,393654,806225,"S92000003","","S08000020","","S12000033","S13002841"
"AB101RA",10,393694,806242,"S92000003","","S08000020","","S12000033","S13002841"
"AB101RB",10,393749,806175,"S92000003","","S08000020","","S12000033","S13002841"
"AB101RD",10,393795,806116,"S92000003","","S08000020","","S12000033","S13002841"
"AB101RE",10,393714,806084,"S92000003","","S08000020","","S12000033","S13002841"
"AB101RG",10,392981,805736,"S92000003","","S08000020","","S12000033","S13002844"
"AB101RH",10,393691,806108,"S92000003","","S08000020","","S12000033","S13002841"
"AB101RJ",10,393670,806232,"S92000003","","S08000020","","S12000033","S13002841"
"AB101RL",10,393698,806246,"S92000003","","S08000020","","S12000033","S13002841"
"AB101RN",10,393613,806255,"S92000003","","S08000020","","S12000033","S13002841"
"AB101RP",10,393579,806273,"S92000003","","S08000020","","S12000033","S13002841"
"AB101RQ",10,393478,806208,"S92000003","","S08000020","","S12000033","S13002841"
"AB101RR",10,393496,806197,"S92000003","","S08000020","","S12000033","S13002841"
"AB101RS",10,393522,806158,"S92000003","","S08000020","","S12000033","S13002841"
"AB101RT",10,393411,806192,"S92000003","","S08000020","","S12000033","S13002841"
"AB101RU",10,393123,805747,"S92000003","","S08000020","","S12000033","S13002844"
"AB101RW",10,392931,805733,"S92000003","","S08000020","","S12000033","S13002844"
"AB101RX",10,393590,806182,"S92000003","","S08000020","","S12000033","S13002841"
"AB101RY",10,393652,806132,"S92000003","","S08000020","","S12000033","S13002841"
"AB101SA",10,393503,805951,"S92000003","","S08000020","","S12000033","S13002841"
"AB101SB",10,393472,806017,"S92000003","","S08000020","","S12000033","S13002841"
"AB101SD",10,393499,805998,"S92000003","","S08000020","","S12000033","S13002841"
"AB101SE",10,393342,806074,"S92000003","","S08000020","","S12000033","S13002841"
"AB101SH",10,393664,806084,"S92000003","","S08000020","","S12000033","S13002841"
"AB101SJ",10,393474,806105,"S92000003","","S08000020","","S12000033","S13002841"
"AB101SL",10,393515,806028,"S92000003","","S08000020","","S12000033","S13002841"
"AB101SN",10,393444,806040,"S92000003","","S08000020","","S12000033","S13002841"
"AB101SP",10,393460,805933,"S92000003","","S08000020","","S12000033","S13002841"
"AB101SQ",10,393438,805903,"S92000003","","S08000020","","S12000033","S13002841"
"AB101SR",10,393423,805996,"S92000003","","S08000020","","S12000033","S13002841"
"AB101SS",10,393421,806017,"S92000003","","S08000020","","S12000033","S13002841"
"AB101ST",10,393340,806083,"S92000003","","S08000020","","S12000033","S13002841"
"AB101SU",10,393309,806126,"S92000003","","S08000020","","S12000033","S13002841"
"AB101SY",10,393405,806217,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TA",10,393457,806216,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TB",10,393457,806216,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TD",10,393446,806149,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TE",10,393479,806123,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TF",10,393447,806125,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TH",10,393574,806072,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TJ",10,393637,806032,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TL",10,393665,805982,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TN",10,393588,805941,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TP",10,393542,805923,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TQ",10,393477,805882,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TR",10,393425,805858,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TS",10,393362,805822,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TT",10,393300,805798,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TW",10,394405,802269,"S92000003","","S08000020","","S12000033","S13002847"
"AB101TX",10,393365,805872,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TY",10,393241,806048,"S92000003","","S08000020","","S12000033","S13002841"
"AB101TZ",10,393220,806060,"S92000003","","S08000020","","S12000033","S13002841"
"AB101UA",10,393395,805872,"S92000003","","S08000020","","S12000033","S13002841"
"AB101UB",10,393324,805972,"S92000003","","S08000020","","S12000033","S13002841"
"AB101UD",10,393354,805964,"S92000003","","S08000020","","S12000033","S13002841"
"AB101UE",10,393289,806126,"S92000003","","S08000020","","S12000033","S13002841"
"AB101UG",10,393296,806004,"S92000003","","S08000020","","S12000033","S13002841"
"AB101UH",10,393267,806111,"S92000003","","S08000020","","S12000033","S13002841"
"AB101UJ",10,393245,806022,"S92000003","","S08000020","","S12000033","S13002841"
"AB101UL",10,392474,805861,"S92000003","","S08000020","","S12000033","S13002844"
"AB101UN",10,392688,805890,"S92000003","","S08000020","","S12000033","S13002844"
"AB101UP",10,392634,805921,"S92000003","","S08000020","","S12000033","S13002844"
"AB101UQ",10,392759,805971,"S92000003","","S08000020","","S12000033","S13002844"
"AB101UR",10,392925,806031,"S92000003","","S08000020","","S12000033","S13002844"
"AB101US",10,392939,805973,"S92000003","","S08000020","","S12000033","S13002844"
"AB101UT",10,393043,806081,"S92000003","","S08000020","","S12000033","S13002841"
"AB101UU",10,393215,805947,"S92000003","","S08000020","","S12000033","S13002841"
"AB101UW",10,393250,805968,"S92000003","","S08000020","","S12000033","S13002841"
"AB101UX",10,393166,806034,"S92000003","","S08000020","","S12000033","S13002841"
"AB101UY",10,393309,805892,"S92000003","","S08000020","","S12000033","S13002841"
"AB101UZ",10,393297,805863,"S92000003","","S08000020","","S12000033","S13002841"
"AB101WB",10,393821,806076,"S92000003","","S08000020","","S12000033","S13002841"
"AB101WD",10,394204,806259,"S92000003","","S08000020","","S12000033","S13002842"
"AB101WE",10,393840,806144,"S92000003","","S08000020","","S12000033","S13002841"
"AB101WF",10,393691,806145,"S92000003","","S08000020","","S12000033","S13002841"
"AB101WH",10,393789,806187,"S92000003","","S08000020","","S12000033","S13002841"
"AB101WP",10,394371,806359,"S92000003","","S08000020","","S12000033","S13002842"
"AB101WR",10,394233,806269,"S92000003","","S08000020","","S12000033","S13002842"
"AB101WS",10,394405,802269,"S92000003","","S08000020","","S12000033","S13002847"
"AB101XA",10,393160,805975,"S92000003","","S08000020","","S12000033","S13002841"
"AB101XB",10,393241,805855,"S92000003","","S08000020","","S12000033","S13002841"
"AB101XD",10,393304,805918,"S92000003","","S08000020","","S12000033","S13002841"
"AB101XE",10,392986,805853,"S92000003","","S08000020","","S12000033","S13002844"
"AB101XF",10,393010,805878,"S92000003","","S08000020","","S12000033","S13002844"
"AB101XG",10,393148,805924,"S92000003","","S08000020","","S12000033","S13002841"
"AB101XH",10,393184,805877,"S92000003","","S08000020","","S12000033","S13002841"
"AB101XL",10,392805,805859,"S92000003","","S08000020","","S12000033","S13002844"
"AB101XN",10,393142,805853,"S92000003","","S08000020","","S12000033","S13002841"
"AB101XP",10,393063,805896,"S92000003","","S08000020","","S12000033","S13002844"
"AB101XW",10,392976,805948,"S92000003","","S08000020","","S12000033","S13002844"
