Story ID,Year,Season,Title,No. of parts,Pt. 1 air date,Pt. 1 viewers (in millons),Pt. 2 air date,Pt.2 viewers,Pt. 3 air date,Pt.3 viewers,Pt. 4 air date,Pt.4 viewers,Pt.5 air date,Pt. 5 viewers,Pt.6 air date,Pt.6 viewers,Pt. 7 air date,Pt.7 viewers,pt. 8 air date,pt. 8 viewers,pt. 9 air date,pt. 9 viewers,pt. 10 air date,pt. 10 viewers,pt. 11 air date,pt. 11 viewers,pt. 12 air date,pt. 12 viewers,Type of Broadcast,Doctor Number,Doctor,Guest Doctor(s),Companion,Companion,Companion,Companion,Companion,Companion,Companion,Companion,Appearance of UNIT,Recurring Villains,Firsts
1,1963,1,An Unearthly Child,4,11/26/63,4.4,11/30/63,5.9,12/7/63,6.9,12/14/63,6.4,,,,,,,,,,,,,,,,,Serial,1,William Hartnell,,Susan Foreman,Barbara Wright,Ian Chesterton,,,,,,,,
2,1964,1,The Daleks,7,12/21/63,6.9,12/28/13,6.4,1/4/64,8.9,1/11/64,9.9,1/18/64,9.9,1/25/64,10.4,2/1/64,10.4,,,,,,,,,,,Serial,1,William Hartnell,,Susan Foreman,Barbara Wright,Ian Chesterton,,,,,,,Daleks,
3,1964,1,The Edge of Destruction,2,2/8/64,10.4,2/15/64,9.9,,,,,,,,,,,,,,,,,,,,,Serial,1,William Hartnell,,Susan Foreman,Barbara Wright,Ian Chesterton,,,,,,,,
4,1964,1,Marco Polo,7,2/22/64,9.4,2/29/64,9.4,3/7/64,9.4,3/14/64,9.9,3/21/64,9.4,3/28/64,8.4,4/4/64,10.4,,,,,,,,,,,Serial,1,William Hartnell,,Susan Foreman,Barbara Wright,Ian Chesterton,,,,,,,,
5,1964,1,The Keys of Marinus,6,4/11/64,9.9,4/18/64,9.4,4/25/64,9.9,5/2/64,10.4,5/9/64,7.9,5/16/64,6.9,,,,,,,,,,,,,Serial,1,William Hartnell,,Susan Foreman,Barbara Wright,Ian Chesterton,,,,,,,,
6,1964,1,The Aztecs,4,5/23/64,7.4,5/30/64,7.4,6/6/64,7.9,6/13/64,7.4,,,,,,,,,,,,,,,,,Serial,1,William Hartnell,,Susan Foreman,Barbara Wright,Ian Chesterton,,,,,,,,
7,1964,1,The Sensorites,6,6/20/64,7.9,6/27/64,6.9,7/11/64,7.4,7/18/64,5.5,7/25/64,6.9,8/1/64,6.9,,,,,,,,,,,,,Serial,1,William Hartnell,,Susan Foreman,Barbara Wright,Ian Chesterton,,,,,,,,
8,1964,1,The Reign of Terror,6,8/8/64,6.9,8/15/64,6.9,8/22/64,6.9,8/29/64,6.4,9/5/64,6.9,9/12/64,6.4,,,,,,,,,,,,,Serial,1,William Hartnell,,Susan Foreman,Barbara Wright,Ian Chesterton,,,,,,,,
9,1964,2,Planet of Giants,3,10/31/64,8.4,11/7/64,8.4,11/14/64,8.9,,,,,,,,,,,,,,,,,,,Serial,1,William Hartnell,,Susan Foreman,Barbara Wright,Ian Chesterton,,,,,,,,
10,1964,2,The Dalek Invasion of Earth,6,11/21/64,11.4,11/28/64,12.4,12/5/64,11.9,12/12/64,11.9,12/19/64,11.4,12/26/64,12.4,,,,,,,,,,,,,Serial,1,William Hartnell,,Susan Foreman,Barbara Wright,Ian Chesterton,,,,,,,Daleks,
11,1965,2,The Rescue,2,1/2/65,12,1/9/65,13,,,,,,,,,,,,,,,,,,,,,Serial,1,William Hartnell,,Barbara Wright,Ian Chesterton,Vicki,,,,,,,,
12,1965,2,The Romans,4,1/16/65,13,1/23/65,11.5,1/30/65,10,2/6/65,12,,,,,,,,,,,,,,,,,Serial,1,William Hartnell,,Barbara Wright,Ian Chesterton,Vicki,,,,,,,,
13,1965,2,The Web Planet,6,2/13/65,13.5,2/20/65,12.5,2/27/65,12.5,3/6/65,13,3/13/65,12,3/20/65,11.5,,,,,,,,,,,,,Serial,1,William Hartnell,,Barbara Wright,Ian Chesterton,Vicki,,,,,,,,
14,1965,2,The Crusade,2,3/27/65,10.5,4/10/65,9,,,,,,,,,,,,,,,,,,,,,Serial,1,William Hartnell,,Barbara Wright,Ian Chesterton,Vicki,,,,,,,,
15,1965,2,The Space Museum,4,4/24/65,10.5,5/1/65,9.2,5/8/65,8.5,5/15/65,8.5,,,,,,,,,,,,,,,,,Serial,1,William Hartnell,,Barbara Wright,Ian Chesterton,Vicki,,,,,,,,
16,1965,2,The Chase,6,5/22/65,10,5/29/65,9.5,6/5/65,9,6/12/65,9.5,6/19/65,9,6/26/65,9.5,,,,,,,,,,,,,Serial,1,William Hartnell,,Barbara Wright,Ian Chesterton,Vicki,Steven Taylor,,,,,,Daleks,
17,1965,2,The Time Meddler,4,7/3/65,8.9,7/10/65,8.8,7/17/65,7.7,7/24/65,8.3,,,,,,,,,,,,,,,,,Serial,1,William Hartnell,,Vicki,Steven Taylor,,,,,,,,,First appearance of a Time Lord other than the Doctor
18,1965,3,Galaxy 4,4,9/11/65,9,9/18/65,9.5,9/25/65,11.3,10/2/65,9.9,,,,,,,,,,,,,,,,,Serial,1,William Hartnell,,Vicki,Steven Taylor,,,,,,,,,
19,1965,3,Mission to the Unknown,1,10/9/65,8.3,,,,,,,,,,,,,,,,,,,,,,,Serial,1,William Hartnell,,Vicki,Steven Taylor,,,,,,,,Daleks,
20,1965,3,The Myth Makers,4,10/16/65,8.3,10/23/65,8.1,10/30/65,8.7,12/6/65,8.3,,,,,,,,,,,,,,,,,Serial,1,William Hartnell,,Vicki,Steven Taylor,Katarina,,,,,,,,
