year,country,region,police_force_area,offence_classification,offence_description,detection_type,FPNs
2016,England,London,Metropolitan Police,818,Neglect of traffic directions,Camera-detected,14021
2016,England,London,Metropolitan Police,818,Neglect of traffic directions,Non camera-detected,5260
2016,England,East of England,Norfolk,816,Speed limit offences,Camera-detected,71890
2016,England,East of England,Norfolk,816,Speed limit offences,Non camera-detected,5653
2016,England,East of England,Norfolk,818,Neglect of traffic directions,Camera-detected,1
2016,England,East of England,Norfolk,818,Neglect of traffic directions,Non camera-detected,1039
2016,Wales,Wales,North Wales,816,Speed limit offences,Camera-detected,16909
2016,Wales,Wales,North Wales,816,Speed limit offences,Non camera-detected,2723
2016,Wales,Wales,North Wales,818,Neglect of traffic directions,Camera-detected,115
2016,Wales,Wales,North Wales,818,Neglect of traffic directions,Non camera-detected,222
2016,England,Yorkshire and the Humber,North Yorkshire,816,Speed limit offences,Camera-detected,28851
2016,England,Yorkshire and the Humber,North Yorkshire,816,Speed limit offences,Non camera-detected,845
2016,England,Yorkshire and the Humber,North Yorkshire,818,Neglect of traffic directions,Camera-detected,0 
2016,England,Yorkshire and the Humber,North Yorkshire,818,Neglect of traffic directions,Non camera-detected,247
2016,England,East Midlands,Northamptonshire,816,Speed limit offences,Camera-detected,44007
2016,England,East Midlands,Northamptonshire,816,Speed limit offences,Non camera-detected,232
2016,England,East Midlands,Northamptonshire,818,Neglect of traffic directions,Camera-detected,0 
2016,England,East Midlands,Northamptonshire,818,Neglect of traffic directions,Non camera-detected,162
2016,England,North East,Northumbria,816,Speed limit offences,Camera-detected,52581
2016,England,North East,Northumbria,816,Speed limit offences,Non camera-detected,816
2016,England,North East,Northumbria,818,Neglect of traffic directions,Camera-detected,2305
2016,England,North East,Northumbria,818,Neglect of traffic directions,Non camera-detected,346
2016,England,East Midlands,Nottinghamshire,816,Speed limit offences,Camera-detected,24874
2016,England,East Midlands,Nottinghamshire,816,Speed limit offences,Non camera-detected,514
2016,England,East Midlands,Nottinghamshire,818,Neglect of traffic directions,Camera-detected,1810
2016,England,East Midlands,Nottinghamshire,818,Neglect of traffic directions,Non camera-detected,271
2016,Wales,Wales,South Wales,816,Speed limit offences,Camera-detected,32659
2016,Wales,Wales,South Wales,816,Speed limit offences,Non camera-detected,247
2016,Wales,Wales,South Wales,818,Neglect of traffic directions,Camera-detected,3405
2016,Wales,Wales,South Wales,818,Neglect of traffic directions,Non camera-detected,159
2016,England,Yorkshire and the Humber,South Yorkshire,816,Speed limit offences,Camera-detected,39217
2016,England,Yorkshire and the Humber,South Yorkshire,816,Speed limit offences,Non camera-detected,704
2016,England,Yorkshire and the Humber,South Yorkshire,818,Neglect of traffic directions,Camera-detected,3113
2016,England,Yorkshire and the Humber,South Yorkshire,818,Neglect of traffic directions,Non camera-detected,580
2016,England,West Midlands,Staffordshire,816,Speed limit offences,Camera-detected,27949
2016,England,West Midlands,Staffordshire,816,Speed limit offences,Non camera-detected,1093
2016,England,West Midlands,Staffordshire,818,Neglect of traffic directions,Camera-detected,461
2016,England,West Midlands,Staffordshire,818,Neglect of traffic directions,Non camera-detected,174
2016,England,East of England,Suffolk,816,Speed limit offences,Camera-detected,0
2016,England,East of England,Suffolk,816,Speed limit offences,Non camera-detected,6
2016,England,East of England,Suffolk,818,Neglect of traffic directions,Camera-detected,11
2016,England,East of England,Suffolk,818,Neglect of traffic directions,Non camera-detected,1
2016,England,South East,Surrey,816,Speed limit offences,Camera-detected,44939
2016,England,South East,Surrey,816,Speed limit offences,Non camera-detected,899
2016,England,South East,Surrey,818,Neglect of traffic directions,Camera-detected,2973
2016,England,South East,Surrey,818,Neglect of traffic directions,Non camera-detected,385
2016,England,South East,Sussex,816,Speed limit offences,Camera-detected,58309
2016,England,South East,Sussex,816,Speed limit offences,Non camera-detected,2175
2016,England,South East,Sussex,818,Neglect of traffic directions,Camera-detected,2374
2016,England,South East,Sussex,818,Neglect of traffic directions,Non camera-detected,346
2016,England,South East,Thames Valley,816,Speed limit offences,Camera-detected,119817
2016,England,South East,Thames Valley,816,Speed limit offences,Non camera-detected,11843
2016,England,South East,Thames Valley,818,Neglect of traffic directions,Camera-detected,1870
2016,England,South East,Thames Valley,818,Neglect of traffic directions,Non camera-detected,618
2016,England,West Midlands,Warwickshire,816,Speed limit offences,Camera-detected,41402
2016,England,West Midlands,Warwickshire,816,Speed limit offences,Non camera-detected,695
2016,England,West Midlands,Warwickshire,818,Neglect of traffic directions,Camera-detected,47
2016,England,West Midlands,Warwickshire,818,Neglect of traffic directions,Non camera-detected,210
2016,England,West Midlands,West Mercia,816,Speed limit offences,Camera-detected,73298
2016,England,West Midlands,West Mercia,816,Speed limit offences,Non camera-detected,1700
2016,England,West Midlands,West Mercia,818,Neglect of traffic directions,Camera-detected,65
2016,England,West Midlands,West Mercia,818,Neglect of traffic directions,Non camera-detected,492
2016,England,West Midlands,West Midlands,816,Speed limit offences,Camera-detected,40014
2016,England,West Midlands,West Midlands,816,Speed limit offences,Non camera-detected,2069
2016,England,West Midlands,West Midlands,818,Neglect of traffic directions,Camera-detected,0
2016,England,West Midlands,West Midlands,818,Neglect of traffic directions,Non camera-detected,586
2016,England,Yorkshire and the Humber,West Yorkshire,816,Speed limit offences,Camera-detected,99840
2016,England,Yorkshire and the Humber,West Yorkshire,816,Speed limit offences,Non camera-detected,4361
2016,England,Yorkshire and the Humber,West Yorkshire,818,Neglect of traffic directions,Camera-detected,3767
2016,England,Yorkshire and the Humber,West Yorkshire,818,Neglect of traffic directions,Non camera-detected,1476
2016,England,South West,Wiltshire,816,Speed limit offences,Camera-detected,0
2016,England,South West,Wiltshire,816,Speed limit offences,Non camera-detected,974
2016,England,South West,Wiltshire,818,Neglect of traffic directions,Camera-detected,2
2016,England,South West,Wiltshire,818,Neglect of traffic directions,Non camera-detected,218
