2004		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Bulb Onions	Bulb	1st	£/kg	0.63	0.57	0.57	0.57	0.58	0.54	0.45	0.36	0.35	0.29	0.28	0.26
	Bulb	2nd	£/kg	0.41	0.39	0.38	0.38	0.37	0.38	0.38	0.30	0.30	0.28	0.27	0.25
	Bulb	Ave	£/kg	0.54	0.49	0.51	0.51	0.47	0.48	0.42	0.32	0.32	0.28	0.27	0.25
Cabbage	Red	1st	£/kg	0.27	0.28	0.27	0.27	0.28	0.27	0.26	0.25	0.25	0.24	0.23	0.23
	Red	2nd	£/kg	0.21	0.21	0.22	0.21	0.21	0.20	0.21	0.19	0.19	0.20	0.21	0.20
	Red	Ave	£/kg	0.27	0.27	0.26	0.26	0.28	0.27	0.26	0.25	0.24	0.24	0.23	0.23
	Savoy	1st	£/head	0.29	0.28	0.27	0.26		0.31	0.31	0.29	0.27	0.27	0.26	0.27
	Savoy	2nd	£/head	0.22	0.22	0.21	0.20		0.28	0.25	0.27	0.26	0.20	0.19	0.20
	Savoy	Ave	£/head	0.28	0.27	0.26	0.24		0.31	0.31	0.29	0.27	0.26	0.25	0.25
	Spring Greens	-	£/kg	0.39	0.45	0.41	0.36	0.28	0.28	0.27	0.27	0.31	0.29	0.31	0.59
	Summer & Autumn-Pointed	1st	£/kg				0.43	0.35	0.34	0.33	0.31	0.33	0.33	0.35	
	Summer & Autumn-Pointed	2nd	£/kg				0.43	0.32	0.28	0.24	0.27	0.25		0.25	
	Summer & Autumn-Pointed	Ave	£/kg				0.43	0.35	0.33	0.32	0.30	0.32		0.35	
	Summer & Autumn-Round	1st	£/head	0.26	0.24	0.23	0.23	0.33	0.29	0.26	0.25	0.24	0.25	0.25	0.23
	Summer & Autumn Round	2nd	£/head	0.19	0.18	0.18	0.17	0.20	0.21	0.19	0.17	0.19	0.20	0.20	0.20
	Summer & Autumn Round	Ave	£/head	0.25	0.22	0.21	0.21	0.32	0.27	0.25	0.24	0.23	0.24	0.24	0.22
	White	1st	£/kg	0.25	0.25	0.24	0.23	0.25	0.24	0.23	0.22	0.22	0.22	0.23	0.23
	White	2nd	£/kg	0.20	0.20	0.20	0.19	0.20	0.20	0.19	0.20	0.21	0.21	0.20	0.19
	White	Ave	£/kg	0.25	0.25	0.24	0.23	0.24	0.24	0.22	0.22	0.22	0.22	0.22	0.22
	Winter Other	1st	£/head	0.28	0.26	0.27	0.25					0.23	0.26	0.25	0.25
	Winter Other	2nd	£/head	0.16	0.21	0.26	0.20							0.19	0.20
	Winter Other	Ave	£/head	0.27	0.26	0.26	0.24							0.24	0.24
Calabrese	All Varieties	-	£/kg						1.03	1.00	0.86	1.08	0.88	0.94	1.82
Capsicums	Green	1st	£/kg			1.38	1.28	1.35	1.04	0.70	0.73	0.83	0.49	0.70	1.05
	Green	2nd	£/kg					0.87	0.65	0.47	0.37	0.47	0.51	0.54	0.68
	Green	Ave	£/kg					1.17	0.95	0.57	0.51	0.63	0.50	0.56	0.90
