2004		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Calabrese	All Varieties	-	£/kg					0.99	1.11	0.90	1.11	0.83	0.88	0.92	1.10
Capsicums	Green	1st	£/kg					0.99	0.84	0.55	0.61	0.58	0.50	0.39	
	Green	2nd	£/kg					0.62	0.63	0.46	0.36	0.34	0.38	0.33	
	Green	Ave	£/kg					0.89	0.79	0.53	0.41	0.49	0.44	0.37	
	Red	1st	£/kg					1.15	0.90	0.57	0.47	0.71	0.68	0.45	0.95
	Red	2nd	£/kg					0.89	0.56	0.34	0.42	0.52	0.38	0.33	
	Red	Ave	£/kg					1.10	0.77	0.48	0.43	0.65	0.59	0.39	
Carrots	Topped-Washed	1st	£/kg	0.24	0.22	0.24	0.36	0.29	0.37	0.32	0.32	0.30	0.30	0.27	0.28
	Topped-Washed	2nd	£/kg	0.17	0.17	0.17	0.23	0.19		0.25	0.25	0.23	0.21	0.19	0.21
	Topped-Washed	Ave	£/kg	0.22	0.21	0.23	0.33	0.27		0.32	0.31	0.29	0.28	0.26	0.27
Cauliflowers	Cornish	1st	£/head	0.45	0.62	0.65	0.41		0.37	0.35	0.37	0.38	0.37	0.86	1.08
	Cornish	2nd	£/head	0.29	0.64	0.59			0.27	0.36	0.36	0.24	0.20		0.75
	Cornish	Ave	£/head	0.41	0.62	0.64			0.28	0.36	0.37	0.28	0.36		1.07
	Kent	1st	£/head	0.52	0.69	0.57	0.44	0.48	0.45	0.41	0.40	0.36	0.33	0.64	0.79
	Kent	2nd	£/head	0.36	0.52	0.28	0.28	0.34	0.30	0.30		0.26	0.24	0.41	0.42
	Kent	Ave	£/head	0.49	0.64	0.52	0.40	0.45	0.42	0.38		0.34	0.31	0.62	0.76
	Other	1st	£/head	0.42	0.47	0.42	0.36	0.46	0.45	0.39	0.39	0.33	0.32	0.61	0.67
	Other	2nd	£/head	0.32	0.39	0.29	0.28	0.38	0.35	0.29	0.27	0.24	0.24	0.45	0.51
	Other	Ave	£/head	0.39	0.46	0.38	0.34	0.43	0.42	0.37	0.37	0.29	0.29	0.57	0.63
Celery	All Washed	1st	£/kg					0.80	0.75	0.65	0.56	0.46	0.44	0.47	
	All Washed	2nd	£/kg						0.51	0.50	0.42	0.36	0.34	0.38	
	All Washed	Ave	£/kg						0.74	0.63	0.54	0.44	0.42	0.46	
Courgettes	All Varieties	1st	£/kg						0.84	0.70	0.68	0.70	0.77		
	All Varieties	2nd	£/kg							0.51	0.58	0.59	0.67		
	All Varieties	Ave	£/kg							0.64	0.66	0.68	0.75		
Cucumbers	All Varieties	1st	£/kg	0.97	1.17	0.73	0.68	0.62	0.56	0.55	0.58	0.55	0.48	0.32	
	All Varieties	2nd	£/kg		0.91	0.74	0.52	0.39	0.37	0.39	0.43	0.39	0.35		
	All Varieties	Ave	£/kg		1.15	0.73	0.64	0.58	0.53	0.52	0.56	0.53	0.44		
Dwarf, French or Kidney Beans	Dwarf, French or Kidney	1st	£/kg						2.38	1.36	1.30	1.14	1.06		
	Dwarf, French or Kidney	2nd	£/kg							1.06	1.00	0.81	0.72		
	Dwarf, French or Kidney	Ave	£/kg							1.33	1.27	1.06	1.03		
Leeks	Trimmed	1st	£/kg	0.62	0.65	0.68	0.71	0.64		0.99	1.00	0.90	0.77	0.73	0.75
	Trimmed	2nd	£/kg	0.47	0.50	0.56	0.54	0.51			0.80	0.70	0.62	0.59	0.62
	Trimmed	Ave	£/kg	0.57	0.61	0.65	0.36	0.55			0.97	0.87	0.74	0.70	0.73
Lettuce	Butterhead – Indoor	1st	£/head	0.24	0.28	0.35	0.26	0.22	0.20	0.19	0.19	0.20	0.19	0.19	0.23
	Butterhead – Indoor	2nd	£/head	0.17	0.21	0.27	0.20	0.15	0.15	0.14	0.13	0.14	0.14	0.15	0.16
	Butterhead – Indoor	Ave	£/head	0.24	0.28	0.34	0.25	0.21	0.19	0.19	0.19	0.19	0.18	0.18	0.22
	Cos	1st	£/head			0.90	0.45	0.39	0.35	0.39	0.37	0.38	0.34		
	Cos	2nd	£/head					0.30	0.20	0.23	0.23	0.23	0.22		
	Cos	Ave	£/head					0.38	0.33	0.37	0.35	0.35	0.34		
	Crisp-Iceberg Type	1st	£/head				0.35	0.33	0.31	0.28	0.36	0.31	0.30	0.47	
	Crisp-Iceberg Type	2nd	£/head					0.22	0.22	0.20	0.26	0.22	0.23		
	Crisp-Iceberg Type	Ave	£/head					0.32	0.29	0.26	0.34	0.29	0.28		
	Little Gem	1st	£/twin			0.58	0.46	0.37	0.35	0.37	0.41	0.38	0.39	0.40	
	Little Gem	2nd	£/twin					0.20		0.30		0.27	0.27		0.45
	Little Gem	Ave	£/twin					0.37		0.37		0.37	0.39		
Mushrooms	Button – Indoor	-	£/kg	1.40	1.41	1.33	1.29	1.31	1.13	0.95	1.18	1.15	1.15	1.32	
	Cup – Indoor	-	£/kg	1.46	1.39	1.32	1.30	1.36	1.07	0.95	1.22	1.15	1.19	1.27	
	Flat – Indoor	-	£/kg	1.62	1.87		1.98	1.41	1.04	0.74	2.20	1.23	1.98	1.23	
Parsnips	All Varieties	-	£/kg	0.56	0.63	0.75	0.91	1.12	1.77	0.99	1.04	0.82	0.74	0.72	0.78
Rhubarb	Forced	-	£/kg	1.47	1.66	1.29	1.32								
	Outdoor	-	£/kg			1.20	0.68	0.59	0.57	0.59	0.61	0.57	0.49		
Runner Beans	Runner-Climbing	1st	£/kg						3.03	1.39	1.05	0.90	1.39		
	Runner-Climbing	2nd	£/kg						2.43	1.31	0.71	0.64	0.83		
	Runner-Climbing	Ave	£/kg						3.01	1.38	0.94	0.82	1.21		
Salad Onions	Salad	-	£/bunch			0.25	0.17	0.18	0.17	0.18	0.18	0.18	0.17	0.15	
Shelling Peas	All Varieties	1st	£/kg					1.66	1.29	0.89	1.17	1.09			
	All Varieties	2nd	£/kg					1.62	1.08	0.75	1.11	1.01			
	All Varieties	Ave	£/kg					1.65	1.26	0.86	1.16	1.07			
Swede	All Varieties	-	£/kg	0.21	0.21	0.21	0.21	0.23	0.29	0.36	0.31	0.28	0.26	0.25	0.25
Sweetcorn	All Varieties	-	£/cob								0.19	0.15	0.13		
Tomatoes	Round	1st	£/kg		1.05	1.39	1.14	0.91	0.69	0.70	0.76	0.71	0.68	0.55	
	Round	2nd	£/kg	0.83		0.61	0.60	0.49	0.35	0.40	0.51	0.42	0.41	0.32	
	Round	Ave	£/kg			1.23	1.10	0.78	0.62	0.64	0.72	0.66	0.62	0.44	
	Vine	1st	£/kg		1.65	1.45	1.18	0.96	0.72	0.71	0.82	0.81	0.82		1.06
	Vine	2nd	£/kg	0.53		0.76	0.76	0.74	0.50		0.56	0.56		0.29	0.36
	Vine	Ave	£/kg			1.27	1.15	0.93	0.71		0.80	0.79			0.72
	Cherry	1st	£/kg			4.00	2.62	1.84	1.48	1.60	1.50	1.58	2.01		
	Cherry	2nd	£/kg			1.58	2.00	0.96	0.97	0.80	1.02	0.89	0.89		
	Cherry	Ave	£/kg			3.02	2.56	1.75	1.39	1.54	1.41	1.53	1.94		
	Plum	1st	£/kg					1.05	0.73	0.67	0.79	0.72	0.87		
	Plum	2nd	£/kg	0.65		0.87	0.75		0.42	0.42		0.54			
	Plum	Ave	£/kg						0.64	0.61		0.72			
Turnip	All Varieties	-	£/kg	0.44	0.51	0.55	0.66	0.85	0.74	0.63	0.70	0.56	0.53	0.54	0.52
Watercress	All Varieties	-	£/bunch	0.37	0.39	0.40	0.38	0.39	0.38	0.40	0.43	0.41	0.37	0.34	
CUT FLOWERS															
Alstromeria	Indoor	-	£/bunch(1)	0.91	0.90	0.94	0.89	0.84	0.86	0.88	0.81	0.75	0.74	0.82	0.95
Chrysanthemums Flowers	Indoor-bloom	-	£/bloom	0.34	0.23	0.26	0.23	0.26	0.27	0.26	0.29	0.33	0.31	0.25	0.39
	Indoor-spray	-	£/spray	0.20	0.18	0.19	0.17	0.17	0.21	0.20	0.16	0.13	0.12	0.14	0.19
Gladioli	All Varieties	-	£/bunch(1)							0.53	0.53	0.44	0.44		
Irises	Indoor	-	£/bunch(1)	0.36	0.51	0.66	0.48	0.42	0.45	0.50	0.70	0.58	0.41	0.45	0.45
Narcissus-inc.Daffodils	Indoor		£/bunch(2)	0.41	0.51	0.54	0.25						0.51	0.46	0.48
Oriental Lilies	Homegrown	-	£/stem	0.49	0.57	0.60	0.53	0.49	0.46	0.38	0.44	0.35	0.39	0.41	0.37
Pinks	All Varieties	-	£/bunch(3)				0.32	0.33	0.23	0.22	0.22	0.23	0.27		
Tulips	Indoor	-	£/bunch(4)	0.64	0.61	0.61	0.53	0.46	0.43				0.58	0.57	0.66
POT PLANTS															
Begonia-Elatior	13cm	-	£ each	1.07	1.09	0.95	1.01	0.99	0.98	0.91	0.98	0.89	0.92	1.01	1.01
Cyclamen	13cm	-	£ each	1.03						1.35	1.14	1.25	1.10	1.10	1.18
Poinsettia	13cm	-	£ each											1.96	2.30
Chrysanthemum	9cm	-	£ each											0.65	
	13cm	-	£ each	0.97	0.91	0.98	0.97	0.97	0.98	1.01	1.00	1.05	1.02	0.94	1.01
2006		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
FRUIT															
Blackberries	All Varieties	-	£/kg							2.82	3.46	4.26			
Blackcurrants	All Varieties	-	£/kg							2.87	4.22	3.93			
Cherries	Sweet Black	1st	£/kg						2.12	1.95	3.09				
	Sweet Black	2nd	£/kg						1.21	1.25					
	Sweet Black	Ave	£/kg						1.97	1.82					
	Sweet White	1st	£/kg						1.43	1.68	1.76				
	Sweet White	2nd	£/kg							1.13	1.32				
	Sweet White	Ave	£/kg							1.58	1.54				
Cooking Apples	Bramley’s Seedling	1st	£/kg	0.53	0.52	0.55	0.64	0.68	0.65	0.65	0.60	0.52	0.50	0.53	0.54
	Bramley’s Seedling	2nd	£/kg	0.36	0.38	0.41	0.44	0.42	0.44	0.43	0.38	0.39	0.30	0.34	0.38
	Bramley’s Seedling	Ave	£/kg	0.49	0.48	0.50	0.55	0.55	0.57	0.55	0.53	0.49	0.45	0.48	0.51
Damsons	All Varieties	1st	£/kg								0.96	0.87	0.96		
	All Varieties	2nd	£/kg								0.85	0.51	0.55		
	All Varieties	Ave	£/kg								0.95	0.84	0.76		
Dessert Apples	Cox’s Orange-group	1st	£/kg	0.56	0.50	0.56	0.70				1.04	0.67	0.52	0.55	0.58
	Cox’s Orange-group	2nd	£/kg	0.36	0.36	0.38	0.46					0.50	0.35	0.37	0.37
	Cox’s Orange-group	Ave	£/kg	0.51	0.46	0.50	0.61					0.64	0.46	0.49	0.51
	Discovery	1st	£/kg							0.73	0.54	0.44			
	Discovery	2nd	£/kg								0.39	0.33			
	Discovery	Ave	£/kg								0.51	0.39			
	Egremont Russet	1st	£/kg	0.60	0.56	0.60	0.55	0.49				0.66	0.59	0.61	0.69
	Egremont Russet	2nd	£/kg	0.39	0.39	0.43						0.56	0.48	0.41	0.44
	Egremont Russet	Ave	£/kg	0.52	0.51	0.56						0.64	0.57	0.58	0.64
	Spartan	1st	£/kg									0.56	0.51	0.47	
	Spartan	2nd	£/kg									0.44	0.39	0.33	
	Spartan	Ave	£/kg									0.56	0.49	0.46	
	Worcester Pearmain	1st	£/kg								0.58	0.53			
	Worcester Pearmain	2nd	£/kg									0.39			
	Worcester Pearmain	Ave	£/kg									0.51			
	Red Pippin	1st	£/kg										0.42	0.48	
	Red Pippin	2nd	£/kg												
	Red Pippin	Ave	£/kg												
	Gala	1st	£/kg	0.49	0.44	0.45	0.46					0.66	0.51	0.53	0.51
	Gala	2nd	£/kg	0.32	0.34							0.48	0.34	0.35	0.38
	Gala	Ave	£/kg	0.43	0.43							0.65	0.49	0.50	0.49
	Other Early Season	-	£/kg								0.48	0.45			
	Other Mid Season	-	£/kg								0.61	0.65	0.44	0.44	0.49
	Other Late Season	-	£/kg	0.46	0.44	0.44	0.49	0.42					0.49	0.58	0.55
	Jonogold – group	1st	£/kg	0.36	0.43	0.48	0.47	0.53	0.60			0.61	0.45	0.44	0.47
	Jonogold – group	2nd	£/kg	0.28	0.38	0.37		0.33	0.34						
	Jonogold – group	Ave	£/kg	0.36	0.43	0.44		0.50	0.51						
Gooseberries	All Varieties	-	£/kg						2.00	1.69					
Pears	Conference	1st	£/kg	0.50	0.54	0.52	0.49	0.50	0.51		0.67	0.51	0.47	0.44	0.45
	Conference	2nd	£/kg	0.34	0.43	0.42	0.36	0.35	0.33		0.46	0.39	0.33	0.34	0.33
	Conference	Ave	£/kg	0.45	0.48	0.47	0.43	0.44	0.48		0.64	0.47	0.39	0.38	0.37
	Doyenne Du Comice	1st	£/kg	0.48	0.64	0.64						0.56	0.51	0.50	0.52
	Doyenne Du Comice	2nd	£/kg	0.35								0.51	0.38	0.36	0.35
	Doyenne Du Comice	Ave	£/kg	0.44								0.55	0.48	0.46	0.50
	William’s Bon Chretien	1st	£/kg								0.62	0.50			
	William’s Bon Chretien	2nd	£/kg								0.44	0.43			
	William’s Bon Chretien	Ave	£/kg								0.56	0.46			
	Other	1st	£/kg	0.39								0.45	0.40	0.37	0.39
	Other	2nd	£/kg	0.28	0.30										0.24
	Other	Ave	£/kg	0.36											0.36
Plums and Gages	Czar	1st	£/kg												
	Czar	2nd	£/kg												
	Czar	Ave	£/kg												
	Majorie’s Seedling	1st	£/kg								0.79	0.60			
	Majorie’s Seedling	2nd	£/kg									0.49	0.44		
	Majorie’s Seedling	Ave	£/kg									0.57			
	Victoria	1st	£/kg								0.98	0.68			
	Victoria	2nd	£/kg								0.64	0.45			
	Victoria	Ave	£/kg								0.89	0.61			
	Other Varieties	-	£/kg							0.62	0.69	0.41			
Raspberries	All Varieties	-	£/kg					10.20	8.19	4.79	5.14	5.97	5.85	5.75	
Redcurrants	All Varieties	-	£/kg							1.89	3.36	3.55			
Strawberries	All Varieties	1st	£/kg				1.85	2.28	1.64	2.18	2.27	1.93	1.47	2.39	
	All Varieties	2nd	£/kg				1.11	1.38	0.90	1.29	1.25	1.03	0.96	1.58	1.24
	All Varieties	Ave	£/kg				1.37	1.72	1.29	1.77	1.84	1.57	1.23	1.85	
VEGETABLES															
Asparagus	All Varieties	1st	£/kg				6.16	4.43	3.31						
	All Varieties	2nd	£/kg				4.59	2.01	1.73						
	All Varieties	Ave	£/kg				6.14	3.81	2.97						
Aubergine	All Varieties	1st	£/kg						3.00						
	All Varieties	2nd	£/kg												
	All Varieties	Ave	£/kg												
Beetroot	Topped	-	£/kg	0.25	0.25	0.25	0.26	0.35	0.49	0.40	0.31	0.30	0.28	0.26	0.28
Broad Beans	Broad	-	£/kg					1.32	0.88	0.65	0.77				
Brussels Sprouts	All Varieties	1st	£/kg	2.15	2.28	2.92	3.46				3.35	2.99	2.53	2.52	2.68
	All Varieties	2nd	£/kg	1.60	1.81	1.99	2.83				2.42	1.79	1.84	1.97	2.17
	All Varieties	Ave	£/kg	2.05	2.20	2.62	3.41				3.29	2.83	2.40	2.41	2.58
Bulb Onions	Bulb	1st	£/kg	0.34	0.33	0.33	0.38	0.42	0.49	0.63	0.60	0.60	0.59	0.66	0.68
	Bulb	2nd	£/kg	0.31	0.30	0.29	0.28	0.30	0.37	0.46	0.46	0.48	0.50	0.54	0.53
	Bulb	Ave	£/kg	0.33	0.31	0.31	0.32	0.34	0.41	0.53	0.53	0.52	0.52	0.58	0.57
Cabbage	Red	1st	£/kg	0.26	0.25	0.26	0.31	0.35	0.41	0.41	0.38	0.35	0.32	0.31	0.30
	Red	2nd	£/kg	0.26	0.21	0.20	0.25	0.28	0.33	0.35	0.34	0.32	0.31	0.28	0.28
	Red	Ave	£/kg	0.26	0.25	0.25	0.30	0.34	0.40	0.40	0.37	0.35	0.32	0.31	0.30
	Savoy	1st	£/head	0.28	0.28	0.30	0.31	0.33	0.38	0.36	0.34	0.32	0.31	0.30	0.30
	Savoy	2nd	£/head	0.24	0.26	0.26	0.26	0.30	0.24	0.27	0.27	0.25	0.22	0.23	0.25
	Savoy	Ave	£/head	0.28	0.28	0.28	0.29	0.33	0.34	0.34	0.32	0.31	0.30	0.28	0.29
	Spring Greens	-	£/kg	0.45	0.61	0.55	0.45	0.35	0.35	0.34	0.32	0.33	0.32	0.30	0.33
	Summer & Autumn-Pointed	1st	£/kg				0.50	0.42	0.42	0.39	0.36	0.39	0.39	0.41	0.38
	Summer & Autumn-Pointed	2nd	£/kg				0.36	0.35	0.35	0.33	0.24		0.15	0.33	0.26
	Summer & Autumn-Pointed	Ave	£/kg				0.48	0.40	0.41	0.38	0.34		0.37	0.40	0.32
	Summer & Autumn-Round	1st	£/head	0.28	0.22		0.36	0.43	0.36	0.33	0.32	0.29	0.29	0.28	0.27
	Summer & Autumn Round	2nd	£/head	0.21				0.35	0.30	0.27	0.26	0.22	0.22	0.21	0.21
	Summer & Autumn Round	Ave	£/head	0.24				0.42	0.35	0.32	0.31	0.28	0.28	0.27	0.26
	White	1st	£/kg	0.24	0.25	0.25	0.29	0.33	0.40	0.41	0.37	0.34	0.31	0.27	0.26
	White	2nd	£/kg	0.24	0.20	0.20	0.21	0.26	0.28	0.31	0.28	0.29	0.27	0.23	0.21
	White	Ave	£/kg	0.24	0.25	0.24	0.28	0.32	0.38	0.40	0.36	0.33	0.30	0.27	0.25
	Winter Other	1st	£/head	0.27	0.28	0.28	0.30	0.37					0.31	0.29	0.32
	Winter Other	2nd	£/head	0.25	0.26	0.28	0.25	0.23						0.26	0.28
	Winter Other	Ave	£/head	0.27	0.27	0.28	0.29	0.31						0.28	0.31
Calabrese	All Varieties	-	£/kg	1.71					1.17	1.05	1.05	0.91	0.90	1.13	1.09
Capsicums	Green	1st	£/kg					1.53	1.08	0.85	0.90	0.88		0.60	
	Green	2nd	£/kg					0.76	0.87	0.53	0.54	0.56		0.34	
	Green	Ave	£/kg					1.29	1.07	0.55	0.56	0.71		0.36	
	Red	1st	£/kg					1.53	1.19	0.72		0.86	0.93		
	Red	2nd	£/kg					0.90	0.82	0.79	0.54	0.58	0.61	0.39	0.33
	Red	Ave	£/kg					1.45	1.11	0.76		0.69	0.65		
Carrots	Topped-Washed	1st	£/kg	0.27	0.27	0.29	0.28	0.29	0.35	0.35	0.35	0.33	0.31	0.30	0.30
	Topped-Washed	2nd	£/kg	0.20	0.17	0.22	0.23	0.25	0.21	0.27	0.26	0.23	0.22	0.19	0.23
	Topped-Washed	Ave	£/kg	0.26	0.25	0.28	0.27	0.28	0.34	0.34	0.33	0.31	0.29	0.27	0.28
Cauliflowers	Cornish	1st	£/head	0.66	0.67	0.64	0.42	0.45	0.70	0.43	0.47	0.35	0.34	0.59	0.35
	Cornish	2nd	£/head	0.54	0.45	0.42	0.40			0.42	0.42	0.27		0.34	
	Cornish	Ave	£/head	0.64	0.63	0.64	0.42			0.43	0.46	0.34	0.34	0.55	0.35
	Kent	1st	£/head	0.64	0.61	0.55	0.41	0.47	0.61	0.45	0.49	0.36	0.37	0.62	0.55
	Kent	2nd	£/head	0.51	0.44	0.39	0.29	0.28	0.38	0.41	0.33	0.23	0.24	0.37	0.40
	Kent	Ave	£/head	0.57	0.56	0.48	0.37	0.40	0.53	0.45	0.49	0.34	0.35	0.53	0.50
	Other	1st	£/head	0.54	0.58	0.46	0.35	0.38	0.51	0.39	0.49	0.39	0.36	0.51	0.39
	Other	2nd	£/head	0.40	0.28	0.37	0.23	0.28	0.34	0.29	0.34	0.29	0.25	0.38	0.31
	Other	Ave	£/head	0.46	0.55	0.42	0.30	0.33	0.43	0.34	0.42	0.35	0.33	0.47	0.36
Celery	All Washed	1st	£/kg					0.78	0.71	0.59	0.53	0.50	0.48	0.49	0.78
	All Washed	2nd	£/kg						0.54	0.51	0.44	0.40	0.41	0.44	
	All Washed	Ave	£/kg						0.68	0.58	0.51	0.49	0.46	0.48	
Courgettes	All Varieties	1st	£/kg						0.83	0.73	0.94	0.90	0.65		
	All Varieties	2nd	£/kg						0.51	0.54	0.73	0.60	0.67		
	All Varieties	Ave	£/kg						0.82	0.69	0.87	0.77	0.66		
Cucumbers	All Varieties	1st	£/kg		0.74	0.66	0.55	0.58	0.65	0.68	0.81	0.63	0.63		
	All Varieties	2nd	£/kg		0.40	0.41	0.40	0.39	0.46	0.48	0.60	0.43	0.39		
	All Varieties	Ave	£/kg		0.73	0.62	0.52	0.53	0.60	0.62	0.75	0.58	0.56		
Dwarf, French or Kidney Beans	Dwarf, French or Kidney	1st	£/kg							1.91	1.68	1.60	1.38		
	Dwarf, French or Kidney	2nd	£/kg							1.32	1.41	1.30	1.17		
	Dwarf, French or Kidney	Ave	£/kg							1.74	1.58	1.49	1.19		
Leeks	Trimmed	1st	£/kg	0.77	0.82	0.99	1.06	0.92		0.98	0.95	0.92	0.86	0.82	0.79
	Trimmed	2nd	£/kg	0.59	0.65	0.77	0.80	0.79		0.88	0.84	0.81	0.68	0.61	0.59
	Trimmed	Ave	£/kg	0.72	0.77	0.93	0.96	0.85		0.97	0.94	0.90	0.82	0.78	0.75
Lettuce	Butterhead – Indoor	1st	£/head	0.22	0.23	0.23	0.23	0.23	0.24	0.26	0.28	0.25	0.23	0.24	0.25
	Butterhead – Indoor	2nd	£/head	0.17	0.17	0.17	0.17	0.18	0.18	0.21	0.22	0.19	0.18	0.18	0.20
	Butterhead – Indoor	Ave	£/head	0.21	0.22	0.22	0.22	0.22	0.23	0.25	0.27	0.24	0.23	0.24	0.25
	Cos	1st	£/head				0.65	0.47	0.47	0.43	0.40	0.39	0.39		
	Cos	2nd	£/head				0.40	0.34	0.31	0.29	0.27	0.25	0.28		
	Cos	Ave	£/head				0.55	0.43	0.42	0.40	0.37	0.36	0.37		
	Crisp-Iceberg Type	1st	£/head					0.40	0.37	0.35	0.41	0.34	0.29	0.67	
	Crisp-Iceberg Type	2nd	£/head					0.29	0.28	0.28	0.32	0.23	0.15		
	Crisp-Iceberg Type	Ave	£/head					0.38	0.35	0.33	0.39	0.31	0.25		
	Little Gem	1st	£/twin	0.50	0.48		0.47	0.40	0.37	0.36	0.40	0.38	0.40	0.47	0.48
	Little Gem	2nd	£/twin				0.45	0.30	0.29	0.33	0.31	0.30	0.27	0.30	
	Little Gem	Ave	£/twin				0.47	0.39	0.36	0.36	0.39	0.37	0.39	0.47	
Mushrooms	Button – Indoor	-	£/kg	1.17	1.22	1.49	1.02	0.94	1.03	0.66	1.82	1.85	1.04	1.10	1.21
	Cup – Indoor	-	£/kg	1.22	1.28	1.55	1.23	1.13	1.09	1.12	1.35	1.48	1.39	1.43	1.10
	Flat – Indoor	-	£/kg	1.53	1.56	1.38	1.24	1.16	0.98	1.31	1.41	1.32	1.28		2.00
Parsnips	All Varieties	-	£/kg	0.66	0.58	0.59	0.62	0.61	0.70	0.76	0.86	0.84	0.82	0.78	0.83
Rhubarb	Forced	-	£/kg	2.12	1.88	1.62	1.60								
	Outdoor	-	£/kg			2.40	1.06	0.66	0.67	0.68	0.60	0.54	0.74		
Runner Beans	Runner-Climbing	1st	£/kg						4.33	2.03	1.71	1.30	1.15		
	Runner-Climbing	2nd	£/kg							1.21	1.09	0.79	0.82		
	Runner-Climbing	Ave	£/kg							1.87	1.57	1.12	0.97		
Salad Onions	Salad	-	£/bunch				0.19	0.18	0.17	0.18	0.18	0.18	0.19		
Shelling Peas	All Varieties	1st	£/kg					1.57	1.25	0.99	1.22	1.47	1.32		
	All Varieties	2nd	£/kg						0.95	0.73	1.01	0.93	1.10		
	All Varieties	Ave	£/kg						1.16	0.90	1.11	1.05	1.21		
Swede	All Varieties	-	£/kg	0.24	0.24	0.25	0.26	0.28	0.42	0.45	0.41	0.36	0.32	0.29	0.29
Sweetcorn	All Varieties	-	£/cob							0.21	0.20	0.18	0.19		
Tomatoes	Round	1st	£/kg		1.92	1.35	1.24	0.89	0.72	0.74	0.73	0.85	0.70	0.57	
	Round	2nd	£/kg			0.66	0.79	0.57	0.43	0.52	0.49	0.60	0.53	0.27	
	Round	Ave	£/kg			1.29	1.16	0.81	0.64	0.68	0.67	0.79	0.66	0.45	
	Vine	1st	£/kg			1.42	1.31	0.98	0.81	0.77	0.73	0.91	0.86		
	Vine	2nd	£/kg			0.92	0.94	0.65	0.53	0.68	0.71	0.73	0.59	0.44	
	Vine	Ave	£/kg			1.40	1.30	0.91	0.75	0.75	0.73	0.88	0.81		
	Cherry	1st	£/kg		3.80	3.13	2.61	2.05	2.03	2.34	2.13	2.17	2.25	1.24	
	Cherry	2nd	£/kg				2.00	1.29	1.30	1.03	1.18	1.11			
	Cherry	Ave	£/kg				2.60	1.88	1.98	2.03	1.94	2.05			
	Plum	1st	£/kg		1.92	1.31	1.22	0.87	0.82	0.86	0.80	0.88	0.83		
	Plum	2nd	£/kg			0.55	0.55	0.44	0.39	0.63	0.62	0.68			
	Plum	Ave	£/kg			1.28	1.20	0.83	0.79	0.79	0.77	0.87			
Turnip	All Varieties	-	£/kg	0.50	0.40	0.41	0.45	0.87	0.78	0.57	0.67	0.70	0.99	0.89	0.89
Watercress	All Varieties	-	£/bunch		0.49	0.36	0.39	0.40	0.41	0.39	0.38	0.37	0.40	0.48	0.46
CUT FLOWERS															
Alstromeria	Indoor	-	£/bunch(1)	0.89	0.86	0.87	0.87	0.75	0.74	0.75	0.72	0.78	0.77	0.81	0.83
Chrysanthemums Flowers	Indoor-bloom	-	£/bloom			0.25	0.33	0.29	0.31	0.27	0.31	0.31	0.32	0.37	0.40
	Indoor-spray	-	£/spray	0.14	0.14	0.16	0.15	0.15	0.17	0.16	0.16	0.13	0.18	0.16	0.12
Gladioli	All Varieties	-	£/bunch(1)						0.59	0.48	0.43	0.43	0.45		
Irises	Indoor	-	£/bunch(1)			0.47	0.41	0.44	0.30	0.36	0.48	0.52	0.45	0.44	
Narcissus-inc.Daffodils	Indoor		£/bunch(2)	0.52	0.48	0.42	0.30						0.80	0.56	0.51
Oriental Lilies	Homegrown	-	£/stem	0.40	0.48	0.50	0.41	0.51	0.50	0.37	0.37	0.42	0.42	0.46	0.52
Pinks	All Varieties	-	£/bunch(3)					0.34	0.27	0.23	0.25	0.25	0.23		0.45
Tulips	Indoor	-	£/bunch(4)	0.66	0.60	0.61	0.63	0.54					1.05	0.88	0.78
POT PLANTS															
Begonia-Elatior	13cm	-	£ each		0.96	0.74	0.84	0.82	0.73	0.85	0.81	0.64	0.60		1.25
Cyclamen	13cm	-	£ each	1.11	1.06	1.07				1.34	1.32	1.12	1.14	1.15	1.24
Poinsettia	13cm	-	£ each											2.82	2.43
Chrysanthemum	9cm	-	£ each										0.75		
	13cm	-	£ each	0.95	0.93	0.89	0.96	1.01	1.00	1.00	1.02	1.07	1.05	1.11	1.22
2007		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
FRUIT															
Blackberries	All Varieties	-	£/kg						3.43	3.44	3.55				
Blackcurrants	All Varieties	-	£/kg							3.65	3.84				
Cherries	Sweet Black	1st	£/kg						2.02	2.34	2.43				
	Sweet Black	2nd	£/kg						1.21	1.45					
	Sweet Black	Ave	£/kg						1.87	2.08					
	Sweet White	1st	£/kg												
	Sweet White	2nd	£/kg												
	Sweet White	Ave	£/kg												
Cooking Apples	Bramley’s Seedling	1st	£/kg	0.53	0.55	0.53	0.65	0.65	0.80	0.90	0.69	0.57	0.58	0.60	0.62
	Bramley’s Seedling	2nd	£/kg	0.36	0.38	0.35	0.46	0.49	0.60	0.65	0.52	0.42	0.35	0.35	0.40
	Bramley’s Seedling	Ave	£/kg	0.49	0.50	0.47	0.60	0.61	0.73	0.81	0.64	0.54	0.52	0.53	0.57
Damsons	All Varieties	1st	£/kg							1.14	0.94	1.10			
	All Varieties	2nd	£/kg								0.69	0.72			
	All Varieties	Ave	£/kg								0.89	0.99			
