Year,Variety,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2007,Cox,0.60,0.70,0.73,0.79,,,,0.94,0.66,0.62,0.64,0.64
2007,Cox,0.37,0.42,0.35,0.54,,,,0.77,0.42,0.40,0.39,0.38
2007,Cox,0.54,0.65,0.67,0.70,,,,0.93,0.61,0.56,0.58,0.58
2007,Discovery,,,,,,,0.76,0.52,,,,
2007,Discovery,,,,,,,0.52,0.38,0.30,,,
2007,Discovery,,,,,,,0.73,0.48,,,,
2007,Egremont Russet,0.61,,,,,,,0.81,0.74,0.75,0.70,0.67
2007,Egremont Russet,0.39,,,,,,,,0.48,0.33,0.50,0.50
2007,Egremont Russet,0.60,,,,,,,,0.71,0.74,0.68,0.66
2007,Other Dessert Apples,,,,,,,,,0.49,0.49,0.54,0.48
2007,Other Dessert Apples,,,,,,,,,0.28,0.33,,
2007,Other Dessert Apples,,,,,,,,,0.48,0.48,,
2007,Worcester Pearmain,,,,,,,,0.61,0.56,0.48,,
2007,Worcester Pearmain,,,,,,,,,0.40,0.33,,
2007,Worcester Pearmain,,,,,,,,,0.53,0.47,,
2007,Other Dessert Apples,,,,,,,,,0.66,0.44,0.71,
2007,Other Dessert Apples,,,,,,,,,,,,0.39
2007,Other Dessert Apples,,,,,,,,,,,,
2007,Gala,0.55,0.53,0.67,,,,,,0.61,0.55,0.54,0.50
2007,Gala,0.40,0.36,0.60,,,,,,,0.40,0.35,0.33
2007,Gala,0.53,0.51,0.66,,,,,,,0.54,0.50,0.46
2007,Other Dessert Apples,,,,,,,0.66,0.60,0.46,0.49,,
2007,Other Dessert Apples,0.51,,,,,,,,0.49,0.54,0.51,0.53
2007,Other Dessert Apples,0.53,0.54,0.51,0.47,0.48,,,,,0.59,0.65,0.48
2007,Jonogold – group,,,,,,,,,,0.52,0.50,0.54
2007,Jonogold – group,,,,,,,,,,0.34,0.34,
2007,Jonogold – group,,,,,,,,,,0.52,0.47,
2008,Cox,0.70,0.67,0.72,0.87,,,,1.09,0.83,0.65,0.63,0.69
2008,Cox,0.45,0.43,0.52,0.50,,,,,0.59,0.42,0.37,0.43
2008,Cox,0.65,0.60,0.67,0.74,,,,,0.81,0.60,0.57,0.63
2008,Discovery,,,,,,,1.03,0.68,0.46,,,
2008,Discovery,,,,,,,,0.43,0.36,,,
2008,Discovery,,,,,,,,0.64,0.44,,,
2008,Egremont Russet,0.77,0.90,0.80,0.88,,,,,0.96,0.72,0.78,0.82
2008,Egremont Russet,0.51,,0.44,0.43,,,,,,0.50,0.53,0.53
2008,Egremont Russet,0.75,,0.77,0.48,,,,,,0.70,0.74,0.75
2008,Other Dessert Apples,0.39,,,,,,,,,0.61,0.62,0.66
2008,Other Dessert Apples,,,,,,,,,,0.34,0.37,0.36
2008,Other Dessert Apples,,,,,,,,,,0.59,0.54,0.60
2008,Worcester Pearmain,,,,,,,,,0.69,0.63,,
2008,Worcester Pearmain,,,,,,,,,0.50,0.43,,
2008,Worcester Pearmain,,,,,,,,,0.67,0.52,,
2008,Other Dessert Apples,,,,,,,,,0.61,0.48,0.49,
2008,Other Dessert Apples,,,,,,,,,,0.34,,
2008,Other Dessert Apples,,,,,,,,,,0.47,,
2008,Gala,0.54,0.57,0.62,0.54,,,,,0.64,0.59,0.54,0.64
2008,Gala,0.40,0.55,0.43,0.44,,,,,,,0.42,0.43
2008,Gala,0.51,0.57,0.55,0.49,,,,,,,0.53,0.59
2008,Other Dessert Apples,,,,,,,,0.60,0.55,0.50,,
2008,Other Dessert Apples,0.58,0.62,0.61,,,,,,0.67,0.50,0.42,0.57
2008,Other Dessert Apples,0.54,0.55,0.56,0.53,0.55,0.44,,,,0.60,0.58,0.60
2008,Jonogold – group,0.42,0.48,0.59,0.51,,,,,,0.62,0.56,0.52
2008,Jonogold – group,0.39,,,,,,,,,0.33,0.33,0.35
2008,Jonogold – group,0.41,,,,,,,,,0.60,0.47,0.41
2009,Cox,0.73,0.83,0.82,0.85,0.64,,,0.91,0.74,0.60,0.59,0.61
2009,Cox,0.48,0.53,0.56,0.51,,,,,0.56,0.41,0.36,0.39
2009,Cox,0.68,0.77,0.77,0.81,,,,,0.72,0.55,0.53,0.56
