Team,For,Against,Position
Arsenal,68,41,4
Aston Villa,39,61,15
Cardiff City,32,74,20
Chelsea,71,27,3
Crystal Palace,33,48,11
Everton,61,39,5
Fulham,40,85,19
Hull City,38,53,16
Liverpool,101,50,2
Manchester City,102,37,1
Manchester United,64,43,7
Newcastle United,43,59,10
Norwich City,28,62,18
Southampton,54,46,8
Stoke City,45,52,9
Sunderland,41,60,14
Swansea City,54,54,12
Tottenham Hotspur,55,51,6
West Bromwich Albion,43,59,17
West Ham United,40,51,13
