ALPHAIND,LEA,ESTAB,URN,SCHNAME,SCHNAME_AC,NFTYPE,TABKS2,PTPRIORLO,PTPRIORAV,PTPRIORHI,ATT8SCR,ATT8SCRENG,ATT8SCRMAT,ATT8SCREBAC,ATT8SCROPENG,PTL2BASICS_LL_PTQ_EE,PTL2BASICS_3YR_PTQ_EE,ATT8SCR_LO,ATT8SCR_AV,ATT8SCR_HI,ATT8SCR_15,PTEBACC_15_PTQ_EE,PTAC5EM_PTQ_EE
27924,391,4485,138120,Kenton School, ,ACC,0,25%,50%,25%,44.1,10.2,8.6,10.7,10.3,59%,57%,28.2,44.4,59.6,43.4,17%,50%
35628,391,8005,130552,NCG, ,FESI,0,33%,58%,8%,30.4,6.6,7.1,8.6,8,36%,14%,SUPP,38.1,SUPP,NA,0%,29%
36194,391,6001,108538,Newcastle High School for Girls, ,IND,0,NP,NP,NP,67.3,14.2,12.5,20.5,14.5,90%,90%,NP,NP,NP,NA,6%,88%
36198,391,6014,108544,Newcastle School for Boys, ,IND,0,NP,NP,NP,58.5,10.4,11.7,18.6,17.9,66%,79%,NP,NP,NP,NA,46%,62%
44316,391,6037,108549,Royal Grammar School, ,IND,0,NP,NP,NP,40.8,7.6,7.8,20.3,3.9,53%,17%,NP,NP,NP,NA,0%,0%
44722,391,4716,137708,Sacred Heart Catholic High School, ,ACC,0,14%,47%,39%,56.7,12,10.5,15.3,16.2,78%,80%,35.7,54.4,66.7,NA,45%,76%
46352,391,4715,137900,St Cuthbert's High School, ,ACC,0,13%,50%,37%,58.5,11.7,11,16.6,12.8,82%,74%,38.8,55.6,69.1,NA,29%,79%
49410,391,4714,140081,St Mary's Catholic School, ,ACC,0,15%,51%,34%,57.1,11.5,10.9,16.7,14.9,76%,69%,38.6,54.3,69.1,NA,29%,72%
56118,391,4000,140965,Studio West, ,FSS,0,20%,60%,20%,42.3,10.3,8,6.9,7.7,60%,60%,32.2,42.7,51.5,NA,NA,57%
58462,391,4002,142673,Trinity Solutions Academy, ,ACC,0, , , , , , , , , , , , , , , , 
59608,391,4430,108524,Walbottle Campus, ,CY,0,13%,57%,30%,45,9.6,8.7,9.7,8.1,49%,51%,27.8,42.6,56.2,NA,13%,42%
