ALPHAIND,LEA,ESTAB,URN,SCHNAME,SCHNAME_AC,NFTYPE,TABKS2,PTPRIORLO,PTPRIORAV,PTPRIORHI,ATT8SCR,ATT8SCRENG,ATT8SCRMAT,ATT8SCREBAC,ATT8SCROPENG,PTL2BASICS_LL_PTQ_EE,PTL2BASICS_3YR_PTQ_EE,ATT8SCR_LO,ATT8SCR_AV,ATT8SCR_HI,ATT8SCR_15,PTEBACC_15_PTQ_EE,PTAC5EM_PTQ_EE
11828,201,6007,100003,City of London School, ,IND,0,NP,NP,NP,42.1,7.3,0,22.2,10.4,0%,0%,NP,NP,NP,NA,0%,0%
11830,201,6005,100001,City of London School for Girls, ,IND,0,NP,NP,NP,32.2,0,0.2,16.9,13,0%,0%,NP,NP,NP,NA,0%,0%
368,202,4285,100053,Acland Burghley School, ,CY,0,13%,48%,39%,50.1,11,9.9,14.2,14.5,60%,59%,26,46.8,63.1,NA,37%,53%
9318,202,4611,100054,The Camden School for Girls, ,VA,0,12%,39%,49%,60.1,13.2,11.7,17.5,16.8,78%,78%,34.8,52.6,71.7,NA,53%,77%
10054,202,6000,137333,CATS College London, ,IND,0,NP,NP,NP,3.4,0,0,0.6,2.7,0%,0%,NP,NP,NP,NA,SUPP,0%
18470,202,6387,100084,Fine Arts College, ,IND,0,NP,NP,NP,49.4,12.8,9.2,8.8,18.6,58%,63%,NP,NP,NP,NA,0%,42%
22308,202,4275,100052,Hampstead School, ,CY,0,26%,49%,25%,50,10.5,9.7,14.4,13.7,59%,57%,33.4,50.6,63.2,NA,25%,52%
23176,202,4104,100049,Haverstock School, ,CY,0,20%,61%,19%,47,9.9,9.6,14,13.3,57%,54%,28,47.9,63,NA,11%,47%
29346,202,5401,100059,La Sainte Union Catholic Secondary School, ,VA,0,9%,54%,36%,57.6,12.2,10.5,15.8,13.2,77%,79%,34.5,55.2,67,NA,42%,74%
32910,202,4652,100055,Maria Fidelis Roman Catholic Convent School FCJ, ,VA,0,18%,61%,21%,50.1,11.4,9.7,13.3,15.8,65%,59%,34,52,59.3,NA,20%,59%
36756,202,6269,100074,North Bridge House Senior School, ,IND,0,NP,NP,NP,62.2,12.8,13.2,18.5,17.7,97%,90%,NP,NP,NP,NA,69%,92%
39932,202,4166,100050,Parliament Hill School, ,CY,0,11%,49%,40%,55.6,12,10.3,16.2,15.9,67%,67%,34.3,51.8,66.3,NA,41%,61%
42930,202,4196,100051,Regent High School, ,CY,0,25%,62%,13%,43.8,9.7,8.8,11.8,10.4,53%,49%,32.6,46,57.5,NA,11%,46%
48846,202,6014,100062,St Margaret's School, ,IND,0,NP,NP,NP,69.6,14.8,13.2,21.7,19.9,100%,92%,NP,NP,NP,NA,88%,100%
54250,202,6307,100076,South Hampstead High School, ,IND,0,NP,NP,NP,54.5,7.5,5,22,9.1,33%,10%,NP,NP,NP,NA,0%,0%
58806,202,4000,137181,The UCL Academy, ,AC,0, , , , , , , , , , , , , ,NA,NA, 
58910,202,6018,100065,University College School, ,IND,0,NP,NP,NP,36.9,0,0,21.2,13.8,0%,0%,NP,NP,NP,NA,0%,0%
62228,202,4688,100056,William Ellis School, ,VA,0,11%,48%,41%,50.6,10.5,10.2,14.8,13,67%,65%,31.8,44.3,61.3,49,34%,56%
4654,203,6376,134827,Bellerbys College London, ,IND,0,NP,NP,NP,3.3,0,2.4,0,0.9,0%,0%,NP,NP,NP,NA,0%,0%
5812,203,6295,100756,Blackheath High School, ,IND,0,NP,NP,NP,58,7.2,12.3,20.1,18.5,93%,33%,NP,NP,NP,NA,0%,0%
12488,203,6293,100202,Colfes Junior School, ,IND,0,NP,NP,NP,49.1,6.3,3.4,20.5,17.9,24%,37%,NP,NP,NP,NA,0%,0%
13068,203,4243,137473,Corelli College, ,ACC,0,22%,57%,21%,44.7,9.8,9,11.3,12.4,51%,53%,25.3,44.9,60.5,NA,8%,44%
17178,203,4077,100182,Eltham Hill School, ,CY,0,10%,63%,27%,51.8,11.6,9.6,13.4,14.5,59%,50%,40.3,50.6,61.7,NA,26%,55%
19540,203,6002,140226,Full Circle Education, ,IND,0,NP,NP,NP,7.8,1.6,0.8,1.2,2.2,8%,3%,NP,NP,NP,NA,0%,8%
21546,203,4001,138245,The Greenwich Free School, ,F,0, , , , , , , , , , , , , ,NA,NA, 
22694,203,4000,138449,Harris Academy Greenwich, ,AC,0,22%,55%,22%,52.7,10.5,10.1,15.5,12.7,58%,65%,43.3,50.3,64.9,NA,28%,54%
26904,203,4003,142608,International Academy of Greenwich, ,F,0, , , , , , , , , , , , , , , , 
27506,203,4508,100192,The John Roan School, ,VC,0,16%,55%,28%,43.2,9.4,7.5,12.9,11.9,31%,43%,25.1,41.3,58.3,NA,28%,29%
40924,203,4130,100183,Plumstead Manor School, ,CY,0,18%,56%,26%,48.9,10.3,9.6,12.3,10.6,59%,56%,26.6,49.8,64.3,NA,24%,56%
41712,203,6004,141315,Pulse and Water College, ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,NP,NP,NP,NA,SUPP,SUPP
43300,203,6300,134402,Right Choice Independent Special School, ,IND,0,NP,NP,NP,0.3,0,0,0.3,0,0%,0%,NP,NP,NP,NA,0%,0%
43536,203,6169,100200,Riverston School, ,IND,0,NP,NP,NP,24,5.7,5.4,5.5,4.7,10%,17%,NP,NP,NP,NA,0%,0%
49128,203,3526,100171,Saint Mary Magdalene Church of England All Through School, ,VA,1, , , , , , , , , , , , , ,NA,NA, 
50572,203,6905,105135,St Paul's Academy, ,AC,0,11%,70%,19%,50.1,11,10.5,12.3,12.5,73%,71%,34.5,49.6,63.1,NA,29%,62%
51562,203,4716,141716,St Thomas More Catholic Comprehensive School, ,ACC,0,13%,53%,34%,60.6,12.2,10.6,18.5,16.9,73%,80%,42.8,58.5,69.9,NA,33%,71%
51702,203,4682,100193,St Ursula's Convent School, ,VA,0,6%,53%,41%,59.3,12,11.5,17.5,18.2,85%,81%,39.4,55.3,66.7,NA,53%,64%
52414,203,6377,132777,Schoolhouse Education, ,IND,0,NP,NP,NP,6.5,2.7,2.7,0,1,0%,5%,NP,NP,NP,NA,0%,0%
55428,203,4271,141309,Stationers Crown Woods Academy, ,ACC,0,11%,58%,31%,50.5,11,10.1,14.2,14.2,70%,67%,34,47.7,62.9,NA,28%,61%
56046,203,6041,136100,StreetVibes Media Academy, ,IND,0,NP,NP,NP,3.4,0.7,2.3,0,0,0%,0%,NP,NP,NP,NA,NA,0%
57346,203,4294,100190,Thomas Tallis School, ,CY,0,18%,52%,30%,49.9,10.4,9.1,13.3,12.5,59%,54%,31.7,48.9,62.4,NA,22%,58%
58930,203,4002,139786,Royal Greenwich Trust School Academy, ,F,0,16%,63%,22%,50.7,10,10.9,12,4.1,61%,47%,40.4,48.3,57.6,NA,7%,58%
63718,203,4250,141163,Woolwich Polytechnic School, ,ACC,0,23%,52%,25%,52.5,11.5,10.7,15.3,13.7,73%,73%,38.4,52.9,66.1,NA,24%,69%
4550,204,6399,102171,Beis Chinuch Lebonos Girls School, ,IND,0,NP,NP,NP,46.7,9.7,12.9,19.3,4.8,61%,53%,NP,NP,NP,NA,0%,61%
4558,204,6337,100295,Beis Malka Girls' School, ,IND,0,NP,NP,NP,46,8.8,12.9,17.6,6.7,54%,58%,NP,NP,NP,NA,0%,54%
4562,204,6296,100293,Beis Rochel d'Satmar Girls' School, ,IND,0,NP,NP,NP,32.9,5.4,12.4,12.2,2.9,83%,23%,NP,NP,NP,NA,0%,0%
4572,204,6400,131342,Beis Trana Girls' School, ,IND,0,NP,NP,NP,24.5,4.9,13.1,6.5,0,78%,30%,NP,NP,NP,NA,0%,0%
6626,204,6010,141516,The Boxing Academy, ,IND,0,NP,NP,NP,9,2,3.2,0.3,3.5,0%,0%,NP,NP,NP,NA,NA,0%
7192,204,6907,131609,The Bridge Academy, ,AC,0,20%,51%,29%,51.8,10.9,10,14,12.9,67%,57%,34.2,50.8,66.6,NA,27%,62%
9552,204,4714,100285,Cardinal Pole Roman Catholic School, ,VA,0,18%,58%,23%,48.9,9.8,10.1,12.8,12.3,59%,58%,34.7,48.1,62.1,46.9,18%,51%
11788,204,6908,135835,"The City Academy, Hackney", ,AC,0,15%,66%,19%,59.1,11.7,11,16.6,11.4,82%,79%,41.9,59.5,72.6,NA,49%,77%
11896,204,4302,137442,Clapton Girls' Academy, ,ACC,0,16%,53%,31%,53.2,11.3,9.9,15.2,15,73%,71%,35.1,52.7,65.3,NA,32%,71%
21936,204,6011,141737,Hackney City Farm, ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NP,NP,NP,NA,NA,SUPP
21942,204,4002,139595,Hackney New School, ,F,0, , , , , , , , , , , , , ,NA,NA, 
22012,204,4283,100277,Haggerston School, ,CY,0,15%,60%,25%,52.6,11,10.6,14.7,15.1,69%,62%,39.9,52.4,67.2,48.2,16%,64%
31894,204,4000,138143,Lubavitch House School (Senior Girls), ,VA,0,0%,37%,63%,56,10.4,10.9,19.4,15.3,73%,72%,NE,38.7,68.5,NA,SUPP,68%
35166,204,6905,134693,Mossbourne Community Academy, ,AC,0,14%,55%,32%,59.5,12.1,12.1,17.5,16.7,88%,87%,35.8,58.5,71.5,58.3,55%,85%
35172,204,4003,140210,Mossbourne Victoria Park Academy, ,AC,0, , , , , , , , , , , , , ,NA,NA, 
39126,204,4641,100282,Our Lady's Convent Roman Catholic High School, ,VA,0,21%,56%,23%,53.6,11.3,10.1,16,15.2,67%,63%,37.1,54.5,67.6,52.5,40%,63%
39504,204,6389,100301,Paragon Christian Academy, ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NP,NP,NP,NA,NA,SUPP
40488,204,6906,131062,The Petchey Academy, ,AC,0,20%,54%,26%,51.3,10.9,10.2,14.5,15,69%,62%,30.8,52.8,66.5,NA,27%,60%
53878,204,6909,136137,Skinners' Academy, ,AC,0,24%,59%,17%,50.5,10.7,10.6,14.4,13.4,70%,63%,34.7,53.3,64.9,NA,25%,63%
55746,204,4310,100279,Stoke Newington School and Sixth Form, ,CY,0,14%,52%,34%,54.4,11.4,10.7,15.4,16.7,72%,65%,32.9,52.5,67.3,53.5,37%,67%
56936,204,6407,132736,"Tawhid Boys School, Tawhid Educational Trust", ,IND,0,NP,NP,NP,53.6,10.9,11.5,15.6,15.6,76%,75%,NP,NP,NP,NA,47%,71%
56944,204,6388,100300,Tayyibah Girls' School, ,IND,0,NP,NP,NP,62.2,13.2,12.8,18.6,17.6,85%,96%,NP,NP,NP,NA,50%,77%
59108,204,4697,100284,The Urswick School - A Church of England Secondary School, ,VA,0,23%,65%,12%,44.2,9.8,8.4,11.4,13.4,46%,44%,31.4,46.4,62.6,NA,30%,39%
64258,204,6072,100287,Yesodey Hatorah School, ,IND,0,NP,NP,NP,16.6,0,9.4,7.2,0,0%,0%,NP,NP,NP,NA,SUPP,0%
64260,204,4318,133599,Yesodey Hatorah Senior Girls School, ,VA,0,7%,49%,44%,59.4,11.7,12.9,18.8,15.9,86%,74%,SUPP,54.4,68.9,NA,SUPP,71%
2302,205,6905,131752,Ark Burlington Danes Academy, ,AC,1,18%,53%,29%,52.7,10.9,10.1,14.4,14.4,63%,68%,32.4,53.2,64.4,54.2,31%,50%
10860,205,6404,134735,Chelsea Independent College, ,IND,0,NP,NP,NP,15.9,1.5,5.6,6.1,2.7,22%,27%,NP,NP,NP,NA,5%,0%
19528,205,4001,141135,Fulham Boys School, ,F,0, , , , , , , , , , , , , ,NA,NA, 
19530,205,4106,139364,Fulham College Boys' School, ,ACC,0,32%,57%,11%,44.5,9.8,8.5,11.3,10.3,46%,47%,34.4,43.9,55.7,NA,14%,45%
19532,205,4315,139365,Fulham Cross Girls' School and Language College, ,ACC,0,20%,50%,30%,56.9,11.7,11.1,15.6,15.9,76%,72%,41.4,57.2,67.5,NA,44%,72%
20388,205,6291,100369,The Godolphin and Latymer School, ,IND,0,NP,NP,NP,22.7,7.8,0,2.2,9.7,0%,0%,NP,NP,NP,NA,0%,0%
22268,205,6906,136172,Hammersmith Academy, ,AC,0,13%,54%,33%,52.7,11,10.6,15.8,14.2,67%,67%,30.4,50.9,62.9,NA,NA,60%
26442,205,4002,141617,The Hurlingham Academy, ,AC,0,33%,46%,20%,49.4,10.7,9.9,12.7,9.7,71%,71%,37.3,50.6,56.2,NA,NA,63%
29424,205,4632,138607,Lady Margaret School, ,ACC,0,5%,34%,62%,61.5,12.5,12.2,18.2,18.6,88%,80%,SUPP,53.6,67.5,NA,50%,82%
30028,205,6306,100370,Latymer Upper School, ,IND,0,NP,NP,NP,24.1,7.5,0,8.5,6,0%,0%,NP,NP,NP,NA,0%,0%
31372,205,5400,137157,The London Oratory School, ,ACC,1,3%,34%,63%,65,13.4,12.6,19.8,18.8,88%,87%,SUPP,56.2,70.5,NA,71%,87%
40600,205,4004,143129,Phoenix High School, ,AC,0, , , , , , , , , , , , , , , , 
44796,205,4620,137935,Sacred Heart High School, ,ACC,0,1%,35%,64%,64.7,13.5,12.5,19.2,19.6,87%,88%,SUPP,55.2,70.5,NA,61%,85%
47436,205,6399,100527,St James Senior Girls' School, ,IND,0,NP,NP,NP,49.1,14.3,0,19.3,14.8,0%,0%,NP,NP,NP,NA,0%,0%
50728,205,6011,100366,St Paul's Girls' School, ,IND,0,NP,NP,NP,48.7,8,0,23.9,4.1,0%,0%,NP,NP,NP,NA,0%,0%
57918,205,6405,136504,TLG West London, ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NE,NP,NP,NP,NA,NA,SUPP
60822,205,4000,136750,West London Free School, ,F,0,8%,42%,50%,58.7,12.2,11.8,17.5,16.9,77%,77%,32.5,53.5,67.7,NA,NA,70%
64322,205,6200,135729,Young Dancers Academy, ,IND,0,NP,NP,NP,46.6,12.9,10,12.3,11.3,67%,80%,NP,NP,NP,NA,0%,67%
2458,206,4325,131690,Arts and Media School Islington, ,FD,0,26%,59%,15%,47.8,11,9.7,13.4,12.6,59%,58%,39.7,48.5,64.8,NA,20%,52%
10236,206,4614,100458,Central Foundation Boys' School, ,VA,0,12%,59%,29%,58.2,11.7,12.1,17,17.2,85%,84%,38.5,57.2,68.6,NA,34%,81%
11824,206,6906,135587,City of London Academy Islington, ,AC,0,26%,56%,18%,54.4,11.9,9.6,15.4,11.9,68%,63%,42.8,55.4,67.8,NA,26%,64%
16908,206,4324,100457,Elizabeth Garrett Anderson School, ,CY,0,13%,60%,27%,53.9,11.5,10.4,15,17,74%,70%,33.9,53.6,66.1,NA,40%,66%
24398,206,4307,100455,Highbury Fields School, ,CY,0,21%,56%,23%,53,11.7,10.3,14.3,13.6,70%,66%,39.5,53.8,64.3,NA,35%,64%
24400,206,4108,100452,Highbury Grove School, ,CY,0,20%,56%,23%,45.5,10,8.9,13.3,12.7,45%,46%,32,44.3,61.3,NA,14%,41%
25154,206,4112,100453,Holloway School, ,CY,0,21%,61%,18%,46,8.6,8.9,12.9,8.9,37%,43%,30.4,48.3,55.3,NA,11%,32%
27100,206,6162,100461,Italia Conti Academy of Theatre Arts, ,IND,0,NP,NP,NP,50.2,10.7,8.9,13.4,17.1,53%,52%,NP,NP,NP,NA,0%,53%
35244,206,4704,100460,Mount Carmel Catholic College for Girls, ,VA,0,23%,65%,11%,48.2,10.8,8.9,13.4,14.1,61%,56%,35,50.6,61.9,NA,22%,59%
45014,206,4651,100459,St Aloysius RC College, ,VA,0,15%,58%,27%,53.9,11.3,10.5,15.5,13.2,76%,71%,36.9,53.9,63.1,NA,40%,66%
49120,206,6905,134314,St Mary Magdalene Academy, ,AC,1,9%,58%,33%,53,11.8,11.7,11.9,12.8,82%,73%,37.3,49.6,63.4,NA,31%,77%
2538,207,6348,100537,Ashbourne Independent School, ,IND,0,NP,NP,NP,54.1,10.9,10.3,18.8,14.1,76%,78%,NP,NP,NP,NA,15%,71%
9556,207,5402,141931,The Cardinal Vaughan Memorial RC School, ,ACC,0,4%,39%,58%,63,12.9,12.3,18.8,18.9,88%,88%,SUPP,53.8,71.1,59.8,46%,84%
10854,207,6905,135531,Chelsea Academy, ,AC,0,11%,64%,25%,55,11.2,10.6,15.1,10.7,72%,69%,38.6,54.2,65.9,NA,28%,66%
12552,207,6362,100539,Collingham, ,IND,0,NP,NP,NP,15.6,0,8.5,2.1,5.1,0%,4%,NP,NP,NP,NA,0%,0%
14538,207,6386,100544,David Game College, ,IND,0,NP,NP,NP,7.8,0.2,1,2.8,3.5,4%,1%,NP,NP,NP,NA,0%,0%
15780,207,6262,100526,Duff Miller College, ,IND,0,NP,NP,NP,9.4,0.8,0,2.5,6.1,0%,0%,NP,NP,NP,NA,0%,0%
17432,207,6007,140225,Epic Learning, ,IND,0,NP,NP,NP,NE,NE,NE,NE,NE,NE,NE,NP,NP,NP,NA,NA,NE
25106,207,4320,140134,Holland Park School, ,ACC,0,10%,41%,48%,61.4,12.4,11.5,18.6,16.4,82%,81%,45.1,57,68.5,59.5,61%,80%
27862,207,4000,140212,Kensington Aldridge Academy, ,AC,0, , , , , , , , , , , , , ,NA,NA, 
32008,207,6391,100547,Lycee Francais Charles de Gaulle, ,IND,0,NP,NP,NP,21.2,8.3,4,6.4,2.4,28%,53%,NP,NP,NP,NA,0%,26%
32528,207,6363,100540,Mander Portman Woodward School, ,IND,0,NP,NP,NP,9.7,2.8,0,2.5,4.5,0%,0%,NP,NP,NP,NA,0%,0%
34984,207,6202,100521,More House School, ,IND,0,NP,NP,NP,44.9,11.3,0,16.4,17.2,0%,0%,NP,NP,NP,NA,0%,0%
41988,207,6026,100511,Queen's Gate School, ,IND,0,NP,NP,NP,48.7,14.2,4.8,12.5,17.2,34%,12%,NP,NP,NP,NA,0%,32%
51610,207,4681,100502,Saint Thomas More Language College, ,VA,0,12%,56%,32%,52.5,11.3,10.2,15.1,14.8,66%,64%,36.1,49.5,64.9,NA,32%,52%
53636,207,4801,100503,Sion-Manning Catholic Girls' School, ,VA,0,21%,52%,27%,51.6,11.5,10.2,13.3,15.2,72%,62%,33.9,52.4,60,NA,19%,65%
56734,207,6396,131778,Tabernacle School, ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,42%,NP,NP,NP,NA,SUPP,SUPP
61254,207,6009,140603,Westminster Tutors, ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NP,NP,NP,NA,SUPP,SUPP
2208,208,5403,100640,Archbishop Tenison's School, ,VA,0,18%,59%,23%,46,10,9.4,12,13.6,61%,56%,30.4,46.7,56.5,NA,5%,39%
2316,208,6906,135389,Ark Evelyn Grace Academy, ,AC,0,26%,51%,23%,46.8,10.1,9.5,12.1,13.1,48%,51%,32.7,47.1,63.7,NA,26%,39%
5594,208,5401,100638,Bishop Thomas Grant Catholic Secondary School, ,VA,0,13%,45%,42%,60.2,12.8,12,17.5,15.7,86%,81%,37.3,57.7,69.8,NA,31%,84%
11804,208,6907,137954,City Heights E-ACT Academy, ,AC,0, , , , , , , , , , , , , ,NA,NA, 
15216,208,6004,100529,DLD College London, ,IND,0,NP,NP,NP,17.5,1.3,6.4,5.2,4.6,16%,13%,NP,NP,NP,NA,0%,0%
15882,208,5402,137093,Dunraven School, ,ACC,1,15%,50%,35%,51.4,11.9,10.2,12.2,10.4,68%,69%,34.9,47.6,63.9,53.9,37%,62%
15918,208,5207,136288,Durand Academy, ,ACC,1, , , , , , , , , , , , , ,NA,NA, 
17070,208,4731,129649,The Elmgreen School, ,VC,0,22%,60%,18%,47,10.3,8.6,13.3,13.1,47%,43%,32.9,46.4,59.9,NA,25%,42%
29342,208,5400,100637,La Retraite Roman Catholic Girls' School, ,VA,0,13%,57%,30%,55.1,11.3,10.8,15.9,16.1,72%,79%,39.2,53.2,65.1,NA,55%,67%
29554,208,6905,134815,Lambeth Academy, ,AC,0,18%,64%,18%,48.4,10.8,9.2,12.5,11.1,59%,58%,33.6,49.9,61.6,NA,18%,56%
30694,208,4321,100625,Lilian Baylis Technology School, ,CY,0,31%,51%,18%,51,10.1,10,15.4,13.3,61%,55%,41.5,53.2,62.4,47.1,22%,56%
31370,208,5405,100642,London Nautical School, ,FD,0,8%,47%,45%,51,11.2,10.5,14,13.5,70%,70%,35.5,47,58,NA,27%,60%
37388,208,4223,100624,Norwood School, ,CY,0,19%,56%,26%,48.5,10.8,9.1,14.3,13.2,62%,56%,30.1,50.5,60.8,NA,25%,59%
38042,208,4000,139659,Oasis Academy South Bank, ,F,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,SUPP
40882,208,4322,136450,Platanos College, ,ACC,0,17%,59%,24%,54.6,10.9,10.8,16,12.9,73%,64%,42.1,54,64.8,NA,26%,70%
46808,208,4509,100627,Saint Gabriel's College, ,VA,0,25%,72%,3%,46.8,10.9,9.6,12.8,13.5,70%,57%,40.4,48.7,SUPP,NA,34%,53%
48978,208,5404,137966,St Martin in the Fields High School for Girls, ,ACC,0,10%,63%,26%,49.6,11.4,9.3,13.3,14.6,57%,62%,33.3,47.4,60.9,NA,28%,55%
54170,208,4005,142905,South Bank Engineering UTC, ,FUTC,0, , , , , , , , , , , , , , , , 
56028,208,6311,100648,Streatham and Clapham High School, ,IND,0,NP,NP,NP,45,7.3,0,19.6,17.4,0%,0%,NP,NP,NP,NA,0%,0%
58348,208,4003,140966,Trinity Academy, ,F,0, , , , , , , , , , , , , ,NA,NA, 
63528,208,2657,100590,Woodmansterne School, ,CY,1, , , , , , , , , , , , , ,NA,0, 
476,209,4600,100748,Addey and Stanhope School, ,VA,0,21%,49%,30%,45.5,10.8,8.5,12.2,12.2,59%,58%,18.4,47.3,59.4,NA,2%,58%
6290,209,4802,100752,Bonus Pastor Catholic College, ,VA,0,16%,56%,27%,53.6,10.9,10.8,15.2,16.7,71%,69%,38.1,52.3,67.4,NA,6%,65%
12784,209,4249,100742,Conisborough College, ,CY,0,19%,54%,27%,45.3,10.1,8.6,12.4,11.7,51%,50%,20,46.4,60.1,NA,13%,43%
14910,209,4047,100740,Deptford Green School, ,CY,0,23%,56%,21%,47.5,10.6,10.2,11,12.9,66%,55%,29.4,48.4,65.4,NA,18%,62%
18958,209,4289,100745,Forest Hill School, ,CY,0,14%,53%,33%,46.6,9.4,9.1,13,11.8,43%,56%,27.9,43,61.8,NA,24%,39%
21914,209,6905,135073,Haberdashers' Aske's Hatcham College, ,AC,1,12%,54%,34%,54.1,11.5,10.5,15.3,14.7,70%,65%,35.5,51.2,64,52.9,33%,65%
21918,209,6906,135070,Haberdashers' Aske's Knights Academy, ,AC,1,18%,55%,26%,45.7,9.9,9.6,11.7,12.4,51%,56%,27,44.6,61.3,NA,16%,42%
30654,209,6001,141018,Life In London Uk, ,IND,0,NP,NP,NP,0.9,0,0,0,0.9,0%,0%,NP,NP,NP,NA,SUPP,0%
32846,209,6409,135901,Marathon Science School, ,IND,0,NP,NP,NP,19.6,3.7,0,10.1,5.8,0%,0%,NP,NP,NP,NA,0%,0%
41270,209,4323,100747,Prendergast Ladywell School, ,FD,1,26%,54%,20%,43.2,9.3,7.9,11.1,8.4,43%,39%,28.4,46.4,59.5,NA,6%,34%
41272,209,4646,100750,Prendergast School, ,VA,0,8%,53%,39%,56.1,12.6,10.3,15.8,16.9,68%,73%,41,50.9,66.1,NA,45%,66%
41274,209,5201,135843,Prendergast Vale School, ,FD,1,18%,61%,21%,50.6,11.1,9.5,15,14.3,59%,59%,35.3,51,64.6,NA,NA,52%
46466,209,6032,100754,St Dunstan's College, ,IND,0,NP,NP,NP,58.6,6.3,13.3,21,18.1,90%,91%,NP,NP,NP,NA,65%,0%
49852,209,6907,135264,St Matthew Academy, ,AC,1,26%,56%,18%,48.5,10.5,9.5,12.4,10.6,60%,53%,32.3,52.5,62.5,NA,11%,55%
52600,209,4267,100743,Sedgehill School, ,CY,0,25%,58%,18%,41.3,8.9,7.7,10.7,13.4,42%,48%,27.4,40.9,56.1,NA,14%,35%
56692,209,6309,100757,Sydenham High School GDST, ,IND,0,NP,NP,NP,61.9,14.6,12.9,15.3,18,96%,96%,NP,NP,NP,NA,0%,96%
56696,209,4204,100741,Sydenham School, ,CY,0,11%,57%,31%,54.6,11.6,10.4,14.8,14.2,72%,64%,39.7,52.6,66.4,NA,35%,64%
58392,209,4636,100749,"Trinity Church of England School, Lewisham", ,VA,1,14%,52%,34%,49.3,10.1,9.9,14.2,13.1,58%,52%,32.8,45.4,61.6,NA,16%,53%
1340,210,6312,100864,Alleyn's School, ,IND,0,NP,NP,NP,60.4,15.4,0,22.9,14.1,0%,0%,NP,NP,NP,NA,0%,0%
2286,210,4001,139718,Ark All Saints Academy, ,AC,0, , , , , , , , , , , , , ,NA,NA, 
2320,210,6912,135584,Ark Globe Academy, ,AC,1,33%,51%,16%,45.6,10.1,9.6,9.8,9.3,61%,58%,35.6,48.5,61.1,NA,20%,46%
2358,210,6909,135315,Ark Walworth Academy, ,AC,0,17%,64%,18%,48.3,10,9.3,13.4,10.3,57%,57%,34.2,48.4,60.6,NA,29%,50%
3240,210,6911,135401,Bacon's College, ,AC,0,9%,54%,37%,48.8,10.6,9.6,13.2,14.1,56%,59%,32.1,43.5,60.2,NA,24%,53%
6358,210,6006,141562,Bosco Centre College, ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NP,NP,NP,NA,NA,SUPP
10640,210,4318,136298,The Charter School, ,ACC,0,7%,56%,37%,57,12.2,11,15.9,16.4,77%,75%,38.8,52.7,68.1,NA,46%,75%
11822,210,6905,134222,City of London Academy (Southwark), ,AC,0,5%,51%,44%,57.4,12.1,11.1,15.6,12.6,79%,69%,40.7,53.7,64.2,NA,17%,76%
12732,210,4000,139587,Compass School Southwark, ,F,0, , , , , , , , , , , , , ,NA,NA, 
15810,210,6000,100861,Dulwich College, ,IND,0,NP,NP,NP,31,0,0,20.3,8.8,0%,0%,NP,NP,NP,NA,0%,0%
19474,210,6394,134573,The From Boyhood To Manhood Foundation, ,IND,0,NP,NP,NP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NP,NP,NP,NA,NA,SUPP
22688,210,6907,131747,Harris Academy Bermondsey, ,AC,0,15%,62%,23%,51.1,11.7,9.3,14.6,14,61%,57%,37.8,49.7,65.9,NA,27%,56%
34040,304,4000,140862,Michaela Community School, ,F,0, , , , , , , , , , , , , ,NA,NA, 
36346,304,5407,101564,Newman Catholic College, ,VA,0,33%,40%,26%,43.8,8.3,9,11.2,10.4,54%,49%,31.4,47.9,59.8,41.7,12%,50%
41324,304,5410,139319,Preston Manor School, ,ACC,1,23%,44%,32%,50.6,10.4,10.2,14.6,14.8,58%,62%,32.6,50.6,64.1,54.2,46%,51%
42002,304,5403,138609,Queens Park Community School, ,ACC,0,18%,56%,26%,52.7,11,10.7,15.6,15.4,73%,64%,33.3,52.9,68.3,NA,11%,66%
47118,304,5406,101563,St Gregory's Catholic Science College,St Gregory's Catholic Science College,VA,0,14%,52%,34%,56.4,11.4,11.1,16.5,16.2,82%,79%,46.5,53.7,64.9,NA,54%,70%
56518,304,6074,101578,The Swaminarayan School, ,IND,0,NP,NP,NP,60.9,13.4,13.2,14.1,20.2,97%,98%,NP,NP,NP,NA,3%,95%
60524,304,4006,138457,Wembley High Technology College, ,ACC,1,14%,50%,36%,59.6,10.3,12,17.5,10.9,66%,79%,42.6,57.3,69.7,NA,59%,65%
3222,305,6000,101680,Babington House School, ,IND,0,NP,NP,NP,55.9,11.7,11.7,15.4,17.1,87%,90%,NP,NP,NP,NA,38%,87%
