LAESTAB,URN,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,6TH_COL,SCH_6TH,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,6TH_COLPER,SCH_6THPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER
9167000,138428,12,3,0,SUPP,SUPP,SUPP,0,0,0,9,0,25%,0%,SUPP,SUPP,SUPP,0%,0%,0%,75%,0%
9167001,138429,8,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9167005,115812,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9167006,115813,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9167015,115821,14,14,0,0,14,8,0,0,6,0,0,100%,0%,0%,100%,57%,0%,0%,43%,0%,0%
9167017,115823,8,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9167018,115824,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9167019,115825,16,14,0,SUPP,SUPP,9,0,SUPP,SUPP,SUPP,SUPP,88%,0%,SUPP,SUPP,56%,0%,SUPP,SUPP,SUPP,SUPP
9167023,131549,9,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9167024,131557,20,20,0,0,20,10,0,0,10,0,0,100%,0%,0%,100%,50%,0%,0%,50%,0%,0%
9167025,134190,6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,916,6580,6205,390,245,5965,2195,475,3195,95,315,60,94%,6%,4%,91%,33%,7%,49%,1%,5%,1%
9194000,117499,163,159,5,SUPP,SUPP,59,SUPP,94,0,4,0,98%,3%,SUPP,SUPP,36%,SUPP,58%,0%,2%,0%
9194001,138747,230,212,21,8,204,72,SUPP,129,SUPP,15,3,92%,9%,3%,89%,31%,SUPP,56%,SUPP,7%,1%
9194002,138225,39,37,5,SUPP,SUPP,26,0,SUPP,0,SUPP,SUPP,95%,13%,SUPP,SUPP,67%,0%,SUPP,0%,SUPP,SUPP
9194003,138582,45,42,0,SUPP,SUPP,SUPP,0,25,0,SUPP,SUPP,93%,0%,SUPP,SUPP,SUPP,0%,56%,0%,SUPP,SUPP
9194004,139416,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9194005,117500,184,176,6,6,170,68,SUPP,100,SUPP,SUPP,SUPP,96%,3%,3%,92%,37%,SUPP,54%,SUPP,SUPP,SUPP
9194006,139873,166,163,5,SUPP,SUPP,32,SUPP,127,SUPP,3,0,98%,3%,SUPP,SUPP,19%,SUPP,77%,SUPP,2%,0%
9194008,139154,156,155,4,8,147,23,SUPP,121,SUPP,SUPP,SUPP,99%,3%,5%,94%,15%,SUPP,78%,SUPP,SUPP,SUPP
9194009,137288,161,161,3,SUPP,SUPP,35,SUPP,112,SUPP,0,0,100%,2%,SUPP,SUPP,22%,SUPP,70%,SUPP,0%,0%
9194010,117504,134,129,6,8,121,55,0,63,3,SUPP,SUPP,96%,4%,6%,90%,41%,0%,47%,2%,SUPP,SUPP
9194011,137038,173,164,5,SUPP,SUPP,52,SUPP,109,SUPP,5,4,95%,3%,SUPP,SUPP,30%,SUPP,63%,SUPP,3%,2%
9194013,137985,160,160,SUPP,3,157,23,SUPP,132,SUPP,0,0,100%,SUPP,2%,98%,14%,SUPP,83%,SUPP,0%,0%
9194014,137847,169,165,9,8,157,75,SUPP,80,SUPP,4,0,98%,5%,5%,93%,44%,SUPP,47%,SUPP,2%,0%
9194016,136608,216,208,13,7,201,61,22,114,4,SUPP,SUPP,96%,6%,3%,93%,28%,10%,53%,2%,SUPP,SUPP
9194017,140037,91,85,SUPP,6,79,46,0,33,0,SUPP,SUPP,93%,SUPP,7%,87%,51%,0%,36%,0%,SUPP,SUPP
9194028,137270,182,178,5,4,174,47,SUPP,123,SUPP,SUPP,SUPP,98%,3%,2%,96%,26%,SUPP,68%,SUPP,SUPP,SUPP
