LAESTAB,URN,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,6TH_COL,SCH_6TH,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,6TH_COLPER,SCH_6THPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER
2024104,100049,202,177,SUPP,6,171,25,SUPP,138,SUPP,21,4,88%,SUPP,3%,85%,12%,SUPP,68%,SUPP,10%,2%
2024166,100050,177,167,7,3,164,28,SUPP,125,SUPP,10,0,94%,4%,2%,93%,16%,SUPP,71%,SUPP,6%,0%
2024196,100051,115,97,SUPP,SUPP,SUPP,37,SUPP,58,SUPP,SUPP,SUPP,84%,SUPP,SUPP,SUPP,32%,SUPP,50%,SUPP,SUPP,SUPP
2024275,100052,199,183,SUPP,4,179,34,SUPP,135,SUPP,SUPP,SUPP,92%,SUPP,2%,90%,17%,SUPP,68%,SUPP,SUPP,SUPP
2024285,100053,176,161,9,5,156,34,SUPP,113,SUPP,SUPP,SUPP,91%,5%,3%,89%,19%,SUPP,64%,SUPP,SUPP,SUPP
2024611,100054,112,110,SUPP,5,105,29,SUPP,71,SUPP,SUPP,SUPP,98%,SUPP,4%,94%,26%,SUPP,63%,SUPP,SUPP,SUPP
2024652,100055,104,101,SUPP,3,98,36,6,56,0,3,0,97%,SUPP,3%,94%,35%,6%,54%,0%,3%,0%
2024688,100056,117,102,SUPP,SUPP,SUPP,11,SUPP,87,SUPP,11,4,87%,SUPP,SUPP,SUPP,9%,SUPP,74%,SUPP,9%,3%
2025401,100059,170,161,3,3,158,16,13,125,4,SUPP,SUPP,95%,2%,2%,93%,9%,8%,74%,2%,SUPP,SUPP
2027137,100092,20,5,SUPP,SUPP,SUPP,SUPP,0,0,0,SUPP,SUPP,25%,SUPP,SUPP,SUPP,SUPP,0%,0%,0%,SUPP,SUPP
2027205,100096,19,19,0,0,19,13,SUPP,SUPP,5,0,0,100%,0%,0%,100%,68%,SUPP,SUPP,26%,0%,0%
LA,202,1410,1280,30,30,1250,265,55,910,20,110,15,91%,2%,2%,89%,19%,4%,64%,1%,8%,1%
2034000,138449,153,140,16,8,132,43,SUPP,93,SUPP,SUPP,SUPP,92%,10%,5%,86%,28%,SUPP,61%,SUPP,SUPP,SUPP
2034077,100182,170,165,7,3,162,47,29,90,0,5,0,97%,4%,2%,95%,28%,17%,53%,0%,3%,0%
2034130,100183,233,224,9,3,221,57,SUPP,153,SUPP,6,3,96%,4%,1%,95%,24%,SUPP,66%,SUPP,3%,1%
2034243,137473,172,164,3,SUPP,SUPP,45,SUPP,119,SUPP,5,3,95%,2%,SUPP,SUPP,26%,SUPP,69%,SUPP,3%,2%
2034250,141163,222,211,11,5,206,54,8,158,0,SUPP,SUPP,95%,5%,2%,93%,24%,4%,71%,0%,SUPP,SUPP
2034271,141309,235,217,22,9,208,64,15,144,6,18,0,92%,9%,4%,89%,27%,6%,61%,3%,8%,0%
2034294,100190,234,218,9,7,211,72,SUPP,159,SUPP,SUPP,SUPP,93%,4%,3%,90%,31%,SUPP,68%,SUPP,SUPP,SUPP
2034508,100192,206,191,17,8,183,62,SUPP,118,SUPP,SUPP,SUPP,93%,8%,4%,89%,30%,SUPP,57%,SUPP,SUPP,SUPP
2034682,100193,111,110,SUPP,SUPP,SUPP,7,36,62,SUPP,SUPP,SUPP,99%,SUPP,SUPP,SUPP,6%,32%,56%,SUPP,SUPP,SUPP
2034716,141716,121,117,SUPP,3,114,SUPP,23,82,SUPP,4,0,97%,SUPP,2%,94%,SUPP,19%,68%,SUPP,3%,0%
2036905,105135,157,148,6,3,145,35,77,40,0,SUPP,SUPP,94%,4%,2%,92%,22%,49%,25%,0%,SUPP,SUPP
2037118,100204,7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2037199,138547,31,30,0,SUPP,SUPP,SUPP,0,SUPP,27,SUPP,SUPP,97%,0%,SUPP,SUPP,SUPP,0%,SUPP,87%,SUPP,SUPP
LA,203,2145,2025,105,50,1970,520,255,1270,45,105,20,94%,5%,2%,92%,24%,12%,59%,2%,5%,1%
2044000,138143,19,19,0,0,19,3,0,18,0,0,0,100%,0%,0%,100%,16%,0%,95%,0%,0%,0%
2044283,100277,100,92,SUPP,SUPP,SUPP,17,SUPP,58,SUPP,5,3,92%,SUPP,SUPP,SUPP,17%,SUPP,58%,SUPP,5%,3%
2044302,137442,166,157,SUPP,SUPP,SUPP,25,SUPP,107,SUPP,5,4,95%,SUPP,SUPP,SUPP,15%,SUPP,64%,SUPP,3%,2%
2044310,100279,239,224,SUPP,SUPP,SUPP,75,SUPP,140,0,15,0,94%,SUPP,SUPP,SUPP,31%,SUPP,59%,0%,6%,0%
2044318,133599,56,43,0,SUPP,SUPP,40,0,SUPP,0,SUPP,SUPP,77%,0%,SUPP,SUPP,71%,0%,SUPP,0%,SUPP,SUPP
2044641,100282,116,115,SUPP,SUPP,SUPP,34,SUPP,60,0,SUPP,SUPP,99%,SUPP,SUPP,SUPP,29%,SUPP,52%,0%,SUPP,SUPP
2044697,100284,126,111,3,SUPP,SUPP,47,SUPP,46,SUPP,9,6,88%,2%,SUPP,SUPP,37%,SUPP,37%,SUPP,7%,5%
2044714,100285,164,147,5,SUPP,SUPP,51,SUPP,74,0,11,6,90%,3%,SUPP,SUPP,31%,SUPP,45%,0%,7%,4%
2046905,134693,202,194,8,3,191,45,SUPP,132,SUPP,5,3,96%,4%,1%,95%,22%,SUPP,65%,SUPP,2%,1%
2046906,131062,171,159,3,SUPP,SUPP,34,38,82,SUPP,SUPP,SUPP,93%,2%,SUPP,SUPP,20%,22%,48%,SUPP,SUPP,SUPP
2046907,131609,174,155,7,5,150,39,SUPP,96,SUPP,14,5,89%,4%,3%,86%,22%,SUPP,55%,SUPP,8%,3%
2046908,135835,174,166,3,SUPP,SUPP,49,SUPP,94,0,SUPP,SUPP,95%,2%,SUPP,SUPP,28%,SUPP,54%,0%,SUPP,SUPP
2047097,100307,17,16,SUPP,SUPP,SUPP,3,SUPP,SUPP,11,SUPP,SUPP,94%,SUPP,SUPP,SUPP,18%,SUPP,SUPP,65%,SUPP,SUPP
2047161,100311,21,18,0,SUPP,SUPP,13,0,SUPP,SUPP,3,0,86%,0%,SUPP,SUPP,62%,0%,SUPP,SUPP,14%,0%
2047171,100312,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,204,1820,1680,40,20,1660,515,205,920,25,95,45,92%,2%,1%,91%,28%,11%,51%,1%,5%,2%
2054106,139364,82,64,0,SUPP,SUPP,21,SUPP,40,0,15,3,78%,0%,SUPP,SUPP,26%,SUPP,49%,0%,18%,4%
2054314,100359,162,146,SUPP,SUPP,SUPP,51,8,83,SUPP,13,3,90%,SUPP,SUPP,SUPP,31%,5%,51%,SUPP,8%,2%
2054315,139365,120,115,SUPP,SUPP,SUPP,40,SUPP,70,SUPP,SUPP,SUPP,96%,SUPP,SUPP,SUPP,33%,SUPP,58%,SUPP,SUPP,SUPP
2054620,137935,157,152,SUPP,SUPP,SUPP,20,SUPP,120,6,SUPP,SUPP,97%,SUPP,SUPP,SUPP,13%,SUPP,76%,4%,SUPP,SUPP
2054632,138607,88,87,0,SUPP,SUPP,17,SUPP,62,SUPP,SUPP,SUPP,99%,0%,SUPP,SUPP,19%,SUPP,70%,SUPP,SUPP,SUPP
2055400,137157,172,168,0,SUPP,SUPP,11,11,142,SUPP,SUPP,SUPP,98%,0%,SUPP,SUPP,6%,6%,83%,SUPP,SUPP,SUPP
2056905,131752,154,146,SUPP,SUPP,SUPP,20,SUPP,117,SUPP,SUPP,SUPP,95%,SUPP,SUPP,SUPP,13%,SUPP,76%,SUPP,SUPP,SUPP
2057014,100378,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2057153,100379,21,20,0,SUPP,SUPP,12,SUPP,7,SUPP,SUPP,SUPP,95%,0%,SUPP,SUPP,57%,SUPP,33%,SUPP,SUPP,SUPP
2057203,100381,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2057204,100382,18,18,0,SUPP,SUPP,11,0,SUPP,0,0,0,100%,0%,SUPP,SUPP,61%,0%,SUPP,0%,0%,0%
2057206,135175,11,11,0,0,11,SUPP,SUPP,0,8,0,0,100%,0%,0%,100%,SUPP,SUPP,0%,73%,0%,0%
LA,205,1110,1040,5,10,1030,250,45,695,35,55,15,94%,1%,1%,93%,22%,4%,63%,3%,5%,1%
2064108,100452,134,124,SUPP,SUPP,SUPP,41,SUPP,72,SUPP,7,3,93%,SUPP,SUPP,SUPP,31%,SUPP,54%,SUPP,5%,2%
2064112,100453,139,121,9,5,116,97,SUPP,12,SUPP,15,3,87%,6%,4%,83%,70%,SUPP,9%,SUPP,11%,2%
2064307,100455,134,127,4,SUPP,SUPP,37,SUPP,70,0,7,0,95%,3%,SUPP,SUPP,28%,SUPP,52%,0%,5%,0%
2064324,100457,158,149,4,3,146,120,SUPP,16,SUPP,6,3,94%,3%,2%,92%,76%,SUPP,10%,SUPP,4%,2%
2064325,131690,125,113,3,SUPP,SUPP,74,25,SUPP,0,9,3,90%,2%,SUPP,SUPP,59%,20%,SUPP,0%,7%,2%
2064614,100458,134,128,SUPP,SUPP,SUPP,25,SUPP,90,SUPP,6,0,96%,SUPP,SUPP,SUPP,19%,SUPP,67%,SUPP,4%,0%
2064651,100459,159,152,3,SUPP,SUPP,SUPP,33,87,SUPP,SUPP,SUPP,96%,2%,SUPP,SUPP,SUPP,21%,55%,SUPP,SUPP,SUPP
2064704,100460,132,125,5,SUPP,SUPP,81,22,SUPP,SUPP,SUPP,SUPP,95%,4%,SUPP,SUPP,61%,17%,SUPP,SUPP,SUPP,SUPP
2066905,134314,163,145,11,6,139,59,SUPP,69,SUPP,SUPP,SUPP,89%,7%,4%,85%,36%,SUPP,42%,SUPP,SUPP,SUPP
2066906,135587,102,87,5,3,84,31,SUPP,41,SUPP,12,3,85%,5%,3%,82%,30%,SUPP,40%,SUPP,12%,3%
2067030,100467,6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2067031,134030,14,14,0,0,14,0,0,0,14,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
2067146,100469,10,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,206,1410,1300,45,25,1275,595,155,490,35,90,20,92%,3%,2%,91%,42%,11%,35%,3%,6%,1%
2074320,140134,235,220,5,3,217,55,13,142,7,11,4,94%,2%,1%,92%,23%,6%,60%,3%,5%,2%
2074681,100502,116,106,0,SUPP,SUPP,SUPP,37,53,SUPP,10,0,91%,0%,SUPP,SUPP,SUPP,32%,46%,SUPP,9%,0%
2074801,100503,126,119,6,SUPP,SUPP,SUPP,45,37,SUPP,7,0,94%,5%,SUPP,SUPP,SUPP,36%,29%,SUPP,6%,0%
2075402,141931,118,116,3,SUPP,SUPP,7,7,98,SUPP,SUPP,SUPP,98%,3%,SUPP,SUPP,6%,6%,83%,SUPP,SUPP,SUPP
2076905,135531,149,130,7,6,124,32,6,84,3,14,5,87%,5%,4%,83%,21%,4%,56%,2%,9%,3%
2077164,141957,6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,207,750,695,20,15,685,140,110,415,25,40,10,93%,3%,2%,91%,19%,14%,55%,3%,6%,1%
2084223,100624,134,116,4,SUPP,SUPP,37,SUPP,66,0,14,4,87%,3%,SUPP,SUPP,28%,SUPP,49%,0%,10%,3%
2084321,100625,116,108,7,SUPP,SUPP,31,SUPP,67,SUPP,5,3,93%,6%,SUPP,SUPP,27%,SUPP,58%,SUPP,4%,3%
2084322,136450,165,153,SUPP,SUPP,SUPP,69,SUPP,43,0,9,3,93%,SUPP,SUPP,SUPP,42%,SUPP,26%,0%,5%,2%
2084509,100627,63,60,0,SUPP,SUPP,17,31,SUPP,0,SUPP,SUPP,95%,0%,SUPP,SUPP,27%,49%,SUPP,0%,SUPP,SUPP
2084731,129649,162,145,3,3,142,56,SUPP,79,SUPP,SUPP,SUPP,90%,2%,2%,88%,35%,SUPP,49%,SUPP,SUPP,SUPP
2085400,100637,148,144,SUPP,SUPP,SUPP,33,SUPP,83,SUPP,SUPP,SUPP,97%,SUPP,SUPP,SUPP,22%,SUPP,56%,SUPP,SUPP,SUPP
2085401,100638,175,169,SUPP,SUPP,SUPP,19,SUPP,141,SUPP,6,0,97%,SUPP,SUPP,SUPP,11%,SUPP,81%,SUPP,3%,0%
2085402,137093,205,186,SUPP,3,183,56,SUPP,105,SUPP,16,3,91%,SUPP,1%,89%,27%,SUPP,51%,SUPP,8%,1%
2085403,100640,86,78,0,SUPP,SUPP,22,SUPP,45,0,SUPP,SUPP,91%,0%,SUPP,SUPP,26%,SUPP,52%,0%,SUPP,SUPP
2085404,137966,143,136,5,SUPP,SUPP,23,50,60,SUPP,7,0,95%,3%,SUPP,SUPP,16%,35%,42%,SUPP,5%,0%
2085405,100642,95,91,5,4,87,30,SUPP,53,SUPP,4,0,96%,5%,4%,92%,32%,SUPP,56%,SUPP,4%,0%
2085950,100643,11,9,0,SUPP,SUPP,6,0,SUPP,SUPP,SUPP,SUPP,82%,0%,SUPP,SUPP,55%,0%,SUPP,SUPP,SUPP,SUPP
2086905,134815,150,130,SUPP,SUPP,SUPP,21,5,99,SUPP,SUPP,SUPP,87%,SUPP,SUPP,SUPP,14%,3%,66%,SUPP,SUPP,SUPP
2086906,135389,143,128,4,4,124,62,10,52,0,SUPP,SUPP,90%,3%,3%,87%,43%,7%,36%,0%,SUPP,SUPP
2087001,100654,22,16,0,SUPP,SUPP,15,0,SUPP,SUPP,3,3,73%,0%,SUPP,SUPP,68%,0%,SUPP,SUPP,14%,14%
2087115,100659,21,20,0,SUPP,SUPP,16,SUPP,SUPP,3,SUPP,SUPP,95%,0%,SUPP,SUPP,76%,SUPP,SUPP,14%,SUPP,SUPP
2087195,133442,6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,208,1845,1695,35,25,1670,515,225,905,25,125,25,92%,2%,1%,91%,28%,12%,49%,1%,7%,1%
2094047,100740,151,135,4,SUPP,SUPP,59,42,SUPP,SUPP,13,3,89%,3%,SUPP,SUPP,39%,28%,SUPP,SUPP,9%,2%
2094204,100741,225,203,11,SUPP,SUPP,44,SUPP,142,SUPP,15,7,90%,5%,SUPP,SUPP,20%,SUPP,63%,SUPP,7%,3%
2094249,100742,130,117,5,4,113,47,46,20,3,SUPP,SUPP,90%,4%,3%,87%,36%,35%,15%,2%,SUPP,SUPP
2094267,100743,235,211,6,4,207,42,SUPP,148,SUPP,20,4,90%,3%,2%,88%,18%,SUPP,63%,SUPP,9%,2%
2094289,100745,232,220,5,5,215,55,18,143,0,8,4,95%,2%,2%,93%,24%,8%,62%,0%,3%,2%
2094323,100747,190,172,6,4,168,55,52,62,0,13,5,91%,3%,2%,88%,29%,27%,33%,0%,7%,3%
2094600,100748,119,114,4,SUPP,SUPP,29,SUPP,62,0,SUPP,SUPP,96%,3%,SUPP,SUPP,24%,SUPP,52%,0%,SUPP,SUPP
2094636,100749,96,83,0,3,80,25,31,SUPP,SUPP,SUPP,SUPP,86%,0%,3%,83%,26%,32%,SUPP,SUPP,SUPP,SUPP
2094646,100750,105,100,0,SUPP,SUPP,SUPP,12,75,0,SUPP,SUPP,95%,0%,SUPP,SUPP,SUPP,11%,71%,0%,SUPP,SUPP
2094802,100752,150,143,0,SUPP,SUPP,SUPP,63,68,SUPP,SUPP,SUPP,95%,0%,SUPP,SUPP,SUPP,42%,45%,SUPP,SUPP,SUPP
2096905,135073,196,188,SUPP,SUPP,SUPP,42,SUPP,137,0,4,4,96%,SUPP,SUPP,SUPP,21%,SUPP,70%,0%,2%,2%
2096906,135070,199,179,9,SUPP,SUPP,66,SUPP,103,SUPP,14,6,90%,5%,SUPP,SUPP,33%,SUPP,52%,SUPP,7%,3%
2096907,135264,143,139,0,SUPP,SUPP,21,85,30,SUPP,4,0,97%,0%,SUPP,SUPP,15%,59%,21%,SUPP,3%,0%
2097038,100760,18,18,0,SUPP,SUPP,12,SUPP,8,SUPP,0,0,100%,0%,SUPP,SUPP,67%,SUPP,44%,SUPP,0%,0%
2097180,100765,18,18,0,0,18,0,0,0,18,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
2097183,136423,10,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,209,2215,2050,50,30,2020,520,425,1055,40,125,40,93%,2%,1%,91%,24%,19%,48%,2%,6%,2%
2104265,136309,241,225,11,SUPP,SUPP,57,19,143,SUPP,13,3,93%,5%,SUPP,SUPP,24%,8%,59%,SUPP,5%,1%
2104318,136298,168,163,4,SUPP,SUPP,25,SUPP,123,SUPP,5,0,97%,2%,SUPP,SUPP,15%,SUPP,73%,SUPP,3%,0%
2104680,100849,126,122,SUPP,SUPP,SUPP,SUPP,39,63,SUPP,SUPP,SUPP,97%,SUPP,SUPP,SUPP,SUPP,31%,50%,SUPP,SUPP,SUPP
2105402,100857,133,124,SUPP,SUPP,SUPP,SUPP,57,41,0,SUPP,SUPP,93%,SUPP,SUPP,SUPP,SUPP,43%,31%,0%,SUPP,SUPP
2105403,138961,118,116,SUPP,3,113,14,18,81,0,SUPP,SUPP,98%,SUPP,3%,96%,12%,15%,69%,0%,SUPP,SUPP
2105404,100859,119,116,3,SUPP,SUPP,SUPP,71,27,SUPP,SUPP,SUPP,97%,3%,SUPP,SUPP,SUPP,60%,23%,SUPP,SUPP,SUPP
2105405,138960,137,131,4,SUPP,SUPP,SUPP,43,68,SUPP,SUPP,SUPP,96%,3%,SUPP,SUPP,SUPP,31%,50%,SUPP,SUPP,SUPP
2106905,134222,170,149,6,5,144,45,SUPP,75,SUPP,14,7,88%,4%,3%,85%,26%,SUPP,44%,SUPP,8%,4%
2106906,134225,124,118,3,SUPP,SUPP,SUPP,40,39,0,SUPP,SUPP,95%,2%,SUPP,SUPP,SUPP,32%,31%,0%,SUPP,SUPP
2106907,131747,164,150,3,SUPP,SUPP,63,SUPP,51,SUPP,10,4,91%,2%,SUPP,SUPP,38%,SUPP,31%,SUPP,6%,2%
2106908,132711,105,95,SUPP,4,91,28,23,36,4,SUPP,SUPP,90%,SUPP,4%,87%,27%,22%,34%,4%,SUPP,SUPP
2106909,135315,156,137,3,SUPP,SUPP,61,SUPP,44,0,16,3,88%,2%,SUPP,SUPP,39%,SUPP,28%,0%,10%,2%
2106911,135401,164,158,6,SUPP,SUPP,57,SUPP,69,SUPP,6,0,96%,4%,SUPP,SUPP,35%,SUPP,42%,SUPP,4%,0%
2106912,135584,178,152,5,SUPP,SUPP,53,SUPP,56,0,18,8,85%,3%,SUPP,SUPP,30%,SUPP,31%,0%,10%,4%
2106913,135816,138,133,5,SUPP,SUPP,35,SUPP,89,SUPP,SUPP,SUPP,96%,4%,SUPP,SUPP,25%,SUPP,64%,SUPP,SUPP,SUPP
2107007,100872,19,18,0,SUPP,SUPP,SUPP,0,SUPP,15,SUPP,SUPP,95%,0%,SUPP,SUPP,SUPP,0%,SUPP,79%,SUPP,SUPP
2107048,100873,9,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2107064,140138,14,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2107174,100880,8,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,210,2290,2125,55,35,2090,555,485,1005,50,120,40,93%,2%,2%,91%,24%,21%,44%,2%,5%,2%
2114024,100965,118,109,SUPP,5,104,58,SUPP,31,SUPP,SUPP,SUPP,92%,SUPP,4%,88%,49%,SUPP,26%,SUPP,SUPP,SUPP
2114105,100966,171,159,5,4,155,108,9,38,0,SUPP,SUPP,93%,3%,2%,91%,63%,5%,22%,0%,SUPP,SUPP
2114150,100967,229,216,8,SUPP,SUPP,47,SUPP,161,4,13,0,94%,3%,SUPP,SUPP,21%,SUPP,70%,2%,6%,0%
2114242,100968,208,203,0,SUPP,SUPP,24,SUPP,178,SUPP,SUPP,SUPP,98%,0%,SUPP,SUPP,12%,SUPP,86%,SUPP,SUPP,SUPP
2114276,100969,151,141,6,SUPP,SUPP,73,SUPP,58,0,SUPP,SUPP,93%,4%,SUPP,SUPP,48%,SUPP,38%,0%,SUPP,SUPP
2114277,100970,136,118,7,SUPP,SUPP,55,SUPP,53,0,15,3,87%,5%,SUPP,SUPP,40%,SUPP,39%,0%,11%,2%
2114284,137789,143,134,SUPP,4,130,48,17,65,0,6,3,94%,SUPP,3%,91%,34%,12%,45%,0%,4%,2%
2114296,100972,112,98,SUPP,SUPP,SUPP,21,SUPP,74,SUPP,SUPP,SUPP,88%,SUPP,SUPP,SUPP,19%,SUPP,66%,SUPP,SUPP,SUPP
2114297,100973,195,178,SUPP,SUPP,SUPP,48,SUPP,118,SUPP,14,3,91%,SUPP,SUPP,SUPP,25%,SUPP,61%,SUPP,7%,2%
2114298,133289,114,99,5,4,95,28,10,57,0,SUPP,SUPP,87%,4%,4%,83%,25%,9%,50%,0%,SUPP,SUPP
2114505,100974,188,171,20,7,164,79,SUPP,80,SUPP,SUPP,SUPP,91%,11%,4%,87%,42%,SUPP,43%,SUPP,SUPP,SUPP
2114507,100975,235,224,3,SUPP,SUPP,70,SUPP,131,SUPP,SUPP,SUPP,95%,1%,SUPP,SUPP,30%,SUPP,56%,SUPP,SUPP,SUPP
2114722,100977,182,176,5,SUPP,SUPP,45,SUPP,126,SUPP,SUPP,SUPP,97%,3%,SUPP,SUPP,25%,SUPP,69%,SUPP,SUPP,SUPP
2114726,100978,133,129,5,3,126,50,SUPP,58,SUPP,SUPP,SUPP,97%,4%,2%,95%,38%,SUPP,44%,SUPP,SUPP,SUPP
2115400,100979,131,122,4,3,119,41,SUPP,63,SUPP,9,0,93%,3%,2%,91%,31%,SUPP,48%,SUPP,7%,0%
2117084,100986,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2117095,100987,10,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2117168,100989,11,11,0,0,11,0,0,0,11,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
2117171,131598,6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,211,2480,2305,75,40,2265,800,140,1290,35,155,25,93%,3%,2%,91%,32%,6%,52%,1%,6%,1%
2124008,135762,86,76,SUPP,SUPP,SUPP,41,SUPP,28,SUPP,5,5,88%,SUPP,SUPP,SUPP,48%,SUPP,33%,SUPP,6%,6%
2124297,101053,170,157,6,SUPP,SUPP,18,SUPP,130,0,SUPP,SUPP,92%,4%,SUPP,SUPP,11%,SUPP,76%,0%,SUPP,SUPP
2124328,136883,147,130,SUPP,3,127,20,3,104,0,14,3,88%,SUPP,2%,86%,14%,2%,71%,0%,10%,2%
2124734,141808,147,144,0,SUPP,SUPP,32,SUPP,107,0,SUPP,SUPP,98%,0%,SUPP,SUPP,22%,SUPP,73%,0%,SUPP,SUPP
2125400,137005,248,242,5,SUPP,SUPP,21,SUPP,217,SUPP,SUPP,SUPP,98%,2%,SUPP,SUPP,8%,SUPP,88%,SUPP,SUPP,SUPP
2125401,139842,277,267,0,SUPP,SUPP,38,SUPP,207,SUPP,SUPP,SUPP,96%,0%,SUPP,SUPP,14%,SUPP,75%,SUPP,SUPP,SUPP
2125402,138681,66,60,3,3,57,16,SUPP,38,SUPP,3,3,91%,5%,5%,86%,24%,SUPP,58%,SUPP,5%,5%
2125405,138682,203,194,5,SUPP,SUPP,43,SUPP,144,0,5,4,96%,2%,SUPP,SUPP,21%,SUPP,71%,0%,2%,2%
2126905,135316,199,182,SUPP,SUPP,SUPP,61,SUPP,114,0,12,5,91%,SUPP,SUPP,SUPP,31%,SUPP,57%,0%,6%,3%
2127067,101093,17,17,0,0,17,0,0,0,17,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
2127068,101094,13,13,0,0,13,0,0,0,13,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
2127077,101095,9,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2127183,101102,11,11,0,0,11,0,0,0,11,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
2127207,101103,25,25,0,0,25,SUPP,0,SUPP,23,0,0,100%,0%,0%,100%,SUPP,0%,SUPP,92%,0%,0%
2127209,131594,11,11,0,0,11,3,0,0,8,0,0,100%,0%,0%,100%,27%,0%,0%,73%,0%,0%
LA,212,1750,1655,30,10,1645,330,60,1170,85,70,25,94%,2%,1%,94%,19%,3%,67%,5%,4%,1%
2134295,137646,205,190,3,SUPP,SUPP,29,SUPP,149,SUPP,12,3,93%,1%,SUPP,SUPP,14%,SUPP,73%,SUPP,6%,1%
2134628,138313,156,152,SUPP,SUPP,SUPP,25,SUPP,112,SUPP,0,4,97%,SUPP,SUPP,SUPP,16%,SUPP,72%,SUPP,0%,3%
2134673,137353,143,138,0,SUPP,SUPP,22,SUPP,113,SUPP,SUPP,SUPP,97%,0%,SUPP,SUPP,15%,SUPP,79%,SUPP,SUPP,SUPP
2134687,138312,124,112,SUPP,SUPP,SUPP,29,SUPP,72,0,SUPP,SUPP,90%,SUPP,SUPP,SUPP,23%,SUPP,58%,0%,SUPP,SUPP
2134723,101154,115,110,3,SUPP,SUPP,15,3,88,SUPP,5,0,96%,3%,SUPP,SUPP,13%,3%,77%,SUPP,4%,0%
2134809,139369,113,102,5,SUPP,SUPP,16,SUPP,70,SUPP,SUPP,SUPP,90%,4%,SUPP,SUPP,14%,SUPP,62%,SUPP,SUPP,SUPP
