LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Exclud",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Exclu1",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers
320,4064,103098,43,11,14,42.8,9.9,13.4,12.8,40542
320,4066,103100,51,13,25,48.6,10.9,21.8,14.6,43337
320,4069,103101,63,17,20,58.8,15.5,19.3,14.1,42009
320,4072,103103,66,21,29,61.5,14.1,24.9,14.5,44340
320,4075,103105,67,12,31,65.8,12,29.6,13.5,44445
320,4076,133287,56,17,17,55.3,15.6,15.4,13.3,42010
320,4603,103106,89,15,27,85.1,12.6,25.3,13.3,41070
320,5200,103088,18,13,11,18,11.2,5.8,23.5,40274
320,5400,137558,117,19,37,109.1,13.8,34.2,14.5,43678
320,5401,138691,108,22,40,102,17.2,33.5,14.5,40856
320,6905,132727,79,22,28,77.6,21.7,27.1,12.6,41878
330,1105,138775,9,6,6,9,6,6,6.1,48049
330,1107,139671,6,5,5,6,4.8,5,6,38376
330,1108,139731,9,7,3,9,7,3,6.2,38845
330,1109,141126,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
330,1110,141739,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
330,1111,142071,2,5,2,2,5,2,14,SUPP
330,2002,103153,24,24,6,20.7,20.7,5.5,22.1,36098
330,2003,142230,39,31,31,33.5,25.8,20.7,21.2,38677
330,2004,134094,19,10,3,17.6,7.7,2.4,19,37338
330,2005,134098,42,42,10,37,30.6,8.9,18.2,36932
330,2008,103157,25,27,6,23.5,20.6,5.9,18.9,38478
330,2010,103159,33,29,9,32,25.5,8.9,18.8,32648
330,2011,134099,34,22,5,31.8,17.8,4.6,20.7,36592
330,2014,103162,28,23,4,26.2,19.5,4,17.1,35710
330,2015,134102,21,19,7,20,13.9,5.9,23.1,39140
330,2016,103163,18,12,3,16.5,10.7,2.2,21.8,35835
330,2017,103164,15,16,5,12.8,11.7,3.7,21.1,39683
330,2018,103165,21,19,7,19.2,14.8,4.7,17.6,35298
330,2019,134279,20,18,10,18.2,13.9,8.6,22.2,36123
330,2020,139443,20,23,5,19.8,18.5,4,23.2,37395
330,2021,134281,18,19,6,17.2,17,5.4,19.9,35193
330,2024,103168,16,6,3,14.1,5.1,2.7,16.5,37101
330,2025,103169,13,14,4,11.4,11,3.1,19.2,37689
330,2026,136815,20,14,5,18.7,11.1,5,20.6,35284
330,2030,103172,39,30,6,35.2,21.4,5.6,18.8,38620
330,2032,137492,20,18,5,20,17,4.9,21,33669
330,2034,103175,22,19,5,20.5,16.9,4.2,19.9,35577
330,2036,138194,21,14,5,19.4,13.2,3.6,22.6,38152
330,2037,138590,19,16,5,18.5,12.4,4.5,19.7,33100
330,2038,138799,36,26,8,34.1,23.4,8,26.2,49573
330,2039,103177,21,23,8,20.1,16.8,5,23,35026
330,2040,103178,23,17,6,21.2,13.6,5.6,21.6,35579
330,2041,138371,13,12,3,13,11.8,2.6,16.7,35940
330,2047,138395,22,17,7,22,16.5,6.7,18.6,33728
330,2048,138396,4,3,NA,4,2.4,NA,SUPP,27970
330,2051,103186,11,17,7,10.6,10.2,4.6,22.4,38707
330,2052,103187,14,10,5,12.7,7.8,2.9,13.9,37972
330,2053,103188,26,16,7,22.6,13.8,5.1,20,38091
330,2054,103189,25,21,3,19.5,16.9,2.5,19.8,39571
330,2055,103190,26,13,8,24.6,10,4.8,17,34970
330,2056,138397,20,17,10,19.2,13.9,8.8,22,31820
330,2057,138410,28,22,6,27.4,20.5,5.8,16.5,31690
330,2058,138425,10,10,5,9.6,7.9,4.3,24.3,32500
330,2059,138432,15,7,8,15,7,6,15.1,30686
330,2060,103191,9,13,4,9,10.7,3.1,26.2,42087
330,2061,138433,7,11,1,6.2,8.8,1,26.5,35854
330,2062,103192,35,25,15,33.8,19.4,13.3,19.9,36565
330,2063,103193,33,24,8,30.1,21,6.9,19.6,33543
330,2064,139183,17,12,4,16.7,11.1,3.6,19.5,35920
330,2065,138218,37,22,7,34.5,16.9,5.4,19.4,34357
330,2067,103196,23,31,4,22.3,25,3.3,19.1,34543
330,2068,138303,19,20,4,17.9,14.4,3.6,18.5,36162
330,2070,138864,35,33,6,32.9,28.2,5.6,20,34095
330,2071,138883,12,13,4,10.1,10.2,2.5,20.2,31626
330,2072,138888,26,51,3,24.8,38.2,3,23,37426
330,2073,138889,20,15,10,18.1,11.4,9.6,15.6,35306
330,2075,138998,16,17,20,15.6,14.7,19.3,29.3,38248
330,2078,139000,16,14,4,15.9,11.9,3.4,20.2,35849
330,2079,103200,18,17,2,16.8,11.3,2,21.3,34341
330,2080,139002,12,9,4,11.2,6.6,3,16.4,34126
330,2081,103201,22,15,6,20.6,12.6,5.6,21.3,35927
330,2082,103202,34,26,3,30.2,19.2,3,14.5,34262
330,2085,138693,26,18,5,25,14.5,4.6,19.5,35683
330,2086,103204,60,38,17,52.4,27.6,14.2,16.3,37026
330,2087,103205,20,16,3,18.6,13.5,2,18,36705
330,2091,103208,13,12,4,10.7,10.2,3,21.3,38600
330,2092,103209,26,7,6,24,5.3,5.2,18.8,32600
330,2093,103210,20,15,4,18,12.8,3.2,21.4,37510
