ALPHAIND	LEA	ESTAB	URN	SCHNAME	SCHNAME_AC	NFTYPE	TABKS2	PTPRIORLO	PTPRIORAV	PTPRIORHI	PTL2BASICS_LL_PTQ_EE	PTEBACC_15_PTQ_EE	PTL2BASICS_3YR_PTQ_EE	PTAC5EM_PTQ_EE	ATT8SCR	ATT8SCRENG	ATT8SCRMAT	ATT8SCREBAC	ATT8SCROPENG	ATT8SCR_LO	ATT8SCR_AV	ATT8SCR_HI	ATT8SCR_15
11828	201	6007	100003	City of London School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	42.1	7.3	0	22.2	10.4	NP	NP	NP	NA
11830	201	6005	100001	City of London School for Girls	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	32.2	0	0.2	16.9	13	NP	NP	NP	NA
368	202	4285	100053	Acland Burghley School	 	CY	0	0.13	0.48	0.39	0.6	0.37	0.59	0.53	50.1	11	9.9	14.2	14.5	26	46.8	63.1	NA
9318	202	4611	100054	The Camden School for Girls	 	VA	0	0.12	0.39	0.49	0.78	0.53	0.78	0.77	60.1	13.2	11.7	17.5	16.8	34.8	52.6	71.7	NA
10054	202	6000	137333	CATS College London	 	IND	0	NP	NP	NP	0.0	SUPP	0.0	0.0	3.4	0	0	0.6	2.7	NP	NP	NP	NA
18470	202	6387	100084	Fine Arts College	 	IND	0	NP	NP	NP	0.58	0.0	0.63	0.42	49.4	12.8	9.2	8.8	18.6	NP	NP	NP	NA
22308	202	4275	100052	Hampstead School	 	CY	0	0.26	0.49	0.25	0.59	0.25	0.57	0.52	50	10.5	9.7	14.4	13.7	33.4	50.6	63.2	NA
23176	202	4104	100049	Haverstock School	 	CY	0	0.2	0.61	0.19	0.57	0.11	0.54	0.47	47	9.9	9.6	14	13.3	28	47.9	63	NA
29346	202	5401	100059	La Sainte Union Catholic Secondary School	 	VA	0	0.09	0.54	0.36	0.77	0.42	0.79	0.74	57.6	12.2	10.5	15.8	13.2	34.5	55.2	67	NA
32910	202	4652	100055	Maria Fidelis Roman Catholic Convent School FCJ	 	VA	0	0.18	0.61	0.21	0.65	0.2	0.59	0.59	50.1	11.4	9.7	13.3	15.8	34	52	59.3	NA
36756	202	6269	100074	North Bridge House Senior School	 	IND	0	NP	NP	NP	0.97	0.69	0.9	0.92	62.2	12.8	13.2	18.5	17.7	NP	NP	NP	NA
39932	202	4166	100050	Parliament Hill School	 	CY	0	0.11	0.49	0.4	0.67	0.41	0.67	0.61	55.6	12	10.3	16.2	15.9	34.3	51.8	66.3	NA
42930	202	4196	100051	Regent High School	 	CY	0	0.25	0.62	0.13	0.53	0.11	0.49	0.46	43.8	9.7	8.8	11.8	10.4	32.6	46	57.5	NA
48846	202	6014	100062	St Margaret's School	 	IND	0	NP	NP	NP	1.0	0.88	0.92	1.0	69.6	14.8	13.2	21.7	19.9	NP	NP	NP	NA
54250	202	6307	100076	South Hampstead High School	 	IND	0	NP	NP	NP	0.33	0.0	0.1	0.0	54.5	7.5	5	22	9.1	NP	NP	NP	NA
58806	202	4000	137181	The UCL Academy	 	AC	0					NA			 	 	 	 	 	 	 	 	NA
58910	202	6018	100065	University College School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	36.9	0	0	21.2	13.8	NP	NP	NP	NA
62228	202	4688	100056	William Ellis School	 	VA	0	0.11	0.48	0.41	0.67	0.34	0.65	0.56	50.6	10.5	10.2	14.8	13	31.8	44.3	61.3	49
4654	203	6376	134827	Bellerbys College London	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	3.3	0	2.4	0	0.9	NP	NP	NP	NA
5812	203	6295	100756	Blackheath High School	 	IND	0	NP	NP	NP	0.93	0.0	0.33	0.0	58	7.2	12.3	20.1	18.5	NP	NP	NP	NA
12488	203	6293	100202	Colfes Junior School	 	IND	0	NP	NP	NP	0.24	0.0	0.37	0.0	49.1	6.3	3.4	20.5	17.9	NP	NP	NP	NA
13068	203	4243	137473	Corelli College	 	ACC	0	0.22	0.57	0.21	0.51	0.08	0.53	0.44	44.7	9.8	9	11.3	12.4	25.3	44.9	60.5	NA
17178	203	4077	100182	Eltham Hill School	 	CY	0	0.1	0.63	0.27	0.59	0.26	0.5	0.55	51.8	11.6	9.6	13.4	14.5	40.3	50.6	61.7	NA
19540	203	6002	140226	Full Circle Education	 	IND	0	NP	NP	NP	0.08	0.0	0.03	0.08	7.8	1.6	0.8	1.2	2.2	NP	NP	NP	NA
21546	203	4001	138245	The Greenwich Free School	 	F	0					NA			 	 	 	 	 	 	 	 	NA
22694	203	4000	138449	Harris Academy Greenwich	 	AC	0	0.22	0.55	0.22	0.58	0.28	0.65	0.54	52.7	10.5	10.1	15.5	12.7	43.3	50.3	64.9	NA
26904	203	4003	142608	International Academy of Greenwich	 	F	0								 	 	 	 	 	 	 	 	 
27506	203	4508	100192	The John Roan School	 	VC	0	0.16	0.55	0.28	0.31	0.28	0.43	0.29	43.2	9.4	7.5	12.9	11.9	25.1	41.3	58.3	NA
40924	203	4130	100183	Plumstead Manor School	 	CY	0	0.18	0.56	0.26	0.59	0.24	0.56	0.56	48.9	10.3	9.6	12.3	10.6	26.6	49.8	64.3	NA
41712	203	6004	141315	Pulse and Water College	 	IND	0	NP	NP	NP	SUPP	SUPP	0.0	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
43300	203	6300	134402	Right Choice Independent Special School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	0.3	0	0	0.3	0	NP	NP	NP	NA
43536	203	6169	100200	Riverston School	 	IND	0	NP	NP	NP	0.1	0.0	0.17	0.0	24	5.7	5.4	5.5	4.7	NP	NP	NP	NA
49128	203	3526	100171	Saint Mary Magdalene Church of England All Through School	 	VA	1					NA			 	 	 	 	 	 	 	 	NA
50572	203	6905	105135	St Paul's Academy	 	AC	0	0.11	0.7	0.19	0.73	0.29	0.71	0.62	50.1	11	10.5	12.3	12.5	34.5	49.6	63.1	NA
51562	203	4716	141716	St Thomas More Catholic Comprehensive School	 	ACC	0	0.13	0.53	0.34	0.73	0.33	0.8	0.71	60.6	12.2	10.6	18.5	16.9	42.8	58.5	69.9	NA
51702	203	4682	100193	St Ursula's Convent School	 	VA	0	0.06	0.53	0.41	0.85	0.53	0.81	0.64	59.3	12	11.5	17.5	18.2	39.4	55.3	66.7	NA
52414	203	6377	132777	Schoolhouse Education	 	IND	0	NP	NP	NP	0.0	0.0	0.05	0.0	6.5	2.7	2.7	0	1	NP	NP	NP	NA
55428	203	4271	141309	Stationers Crown Woods Academy	 	ACC	0	0.11	0.58	0.31	0.7	0.28	0.67	0.61	50.5	11	10.1	14.2	14.2	34	47.7	62.9	NA
56046	203	6041	136100	StreetVibes Media Academy	 	IND	0	NP	NP	NP	0.0	NA	0.0	0.0	3.4	0.7	2.3	0	0	NP	NP	NP	NA
57346	203	4294	100190	Thomas Tallis School	 	CY	0	0.18	0.52	0.3	0.59	0.22	0.54	0.58	49.9	10.4	9.1	13.3	12.5	31.7	48.9	62.4	NA
58930	203	4002	139786	Royal Greenwich Trust School Academy	 	F	0	0.16	0.63	0.22	0.61	0.07	0.47	0.58	50.7	10	10.9	12	4.1	40.4	48.3	57.6	NA
63718	203	4250	141163	Woolwich Polytechnic School	 	ACC	0	0.23	0.52	0.25	0.73	0.24	0.73	0.69	52.5	11.5	10.7	15.3	13.7	38.4	52.9	66.1	NA
4550	204	6399	102171	Beis Chinuch Lebonos Girls School	 	IND	0	NP	NP	NP	0.61	0.0	0.53	0.61	46.7	9.7	12.9	19.3	4.8	NP	NP	NP	NA
4558	204	6337	100295	Beis Malka Girls' School	 	IND	0	NP	NP	NP	0.54	0.0	0.58	0.54	46	8.8	12.9	17.6	6.7	NP	NP	NP	NA
4562	204	6296	100293	Beis Rochel d'Satmar Girls' School	 	IND	0	NP	NP	NP	0.83	0.0	0.23	0.0	32.9	5.4	12.4	12.2	2.9	NP	NP	NP	NA
4572	204	6400	131342	Beis Trana Girls' School	 	IND	0	NP	NP	NP	0.78	0.0	0.3	0.0	24.5	4.9	13.1	6.5	0	NP	NP	NP	NA
6626	204	6010	141516	The Boxing Academy	 	IND	0	NP	NP	NP	0.0	NA	0.0	0.0	9	2	3.2	0.3	3.5	NP	NP	NP	NA
7192	204	6907	131609	The Bridge Academy	 	AC	0	0.2	0.51	0.29	0.67	0.27	0.57	0.62	51.8	10.9	10	14	12.9	34.2	50.8	66.6	NA
9552	204	4714	100285	Cardinal Pole Roman Catholic School	 	VA	0	0.18	0.58	0.23	0.59	0.18	0.58	0.51	48.9	9.8	10.1	12.8	12.3	34.7	48.1	62.1	46.9
11788	204	6908	135835	The City Academy, Hackney	 	AC	0	0.15	0.66	0.19	0.82	0.49	0.79	0.77	59.1	11.7	11	16.6	11.4	41.9	59.5	72.6	NA
11896	204	4302	137442	Clapton Girls' Academy	 	ACC	0	0.16	0.53	0.31	0.73	0.32	0.71	0.71	53.2	11.3	9.9	15.2	15	35.1	52.7	65.3	NA
21936	204	6011	141737	Hackney City Farm	 	IND	0	NP	NP	NP	SUPP	NA	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
21942	204	4002	139595	Hackney New School	 	F	0					NA			 	 	 	 	 	 	 	 	NA
22012	204	4283	100277	Haggerston School	 	CY	0	0.15	0.6	0.25	0.69	0.16	0.62	0.64	52.6	11	10.6	14.7	15.1	39.9	52.4	67.2	48.2
31894	204	4000	138143	Lubavitch House School (Senior Girls)	 	VA	0	0.0	0.37	0.63	0.73	SUPP	0.72	0.68	56	10.4	10.9	19.4	15.3	NE	38.7	68.5	NA
35166	204	6905	134693	Mossbourne Community Academy	 	AC	0	0.14	0.55	0.32	0.88	0.55	0.87	0.85	59.5	12.1	12.1	17.5	16.7	35.8	58.5	71.5	58.3
35172	204	4003	140210	Mossbourne Victoria Park Academy	 	AC	0					NA			 	 	 	 	 	 	 	 	NA
39126	204	4641	100282	Our Lady's Convent Roman Catholic High School	 	VA	0	0.21	0.56	0.23	0.67	0.4	0.63	0.63	53.6	11.3	10.1	16	15.2	37.1	54.5	67.6	52.5
39504	204	6389	100301	Paragon Christian Academy	 	IND	0	NP	NP	NP	SUPP	NA	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
40488	204	6906	131062	The Petchey Academy	 	AC	0	0.2	0.54	0.26	0.69	0.27	0.62	0.6	51.3	10.9	10.2	14.5	15	30.8	52.8	66.5	NA
53878	204	6909	136137	Skinners' Academy	 	AC	0	0.24	0.59	0.17	0.7	0.25	0.63	0.63	50.5	10.7	10.6	14.4	13.4	34.7	53.3	64.9	NA
55746	204	4310	100279	Stoke Newington School and Sixth Form	 	CY	0	0.14	0.52	0.34	0.72	0.37	0.65	0.67	54.4	11.4	10.7	15.4	16.7	32.9	52.5	67.3	53.5
56936	204	6407	132736	Tawhid Boys School, Tawhid Educational Trust	 	IND	0	NP	NP	NP	0.76	0.47	0.75	0.71	53.6	10.9	11.5	15.6	15.6	NP	NP	NP	NA
56944	204	6388	100300	Tayyibah Girls' School	 	IND	0	NP	NP	NP	0.85	0.5	0.96	0.77	62.2	13.2	12.8	18.6	17.6	NP	NP	NP	NA
59108	204	4697	100284	The Urswick School - A Church of England Secondary School	 	VA	0	0.23	0.65	0.12	0.46	0.3	0.44	0.39	44.2	9.8	8.4	11.4	13.4	31.4	46.4	62.6	NA
64258	204	6072	100287	Yesodey Hatorah School	 	IND	0	NP	NP	NP	0.0	SUPP	0.0	0.0	16.6	0	9.4	7.2	0	NP	NP	NP	NA
64260	204	4318	133599	Yesodey Hatorah Senior Girls School	 	VA	0	0.07	0.49	0.44	0.86	SUPP	0.74	0.71	59.4	11.7	12.9	18.8	15.9	SUPP	54.4	68.9	NA
2302	205	6905	131752	Ark Burlington Danes Academy	 	AC	1	0.18	0.53	0.29	0.63	0.31	0.68	0.5	52.7	10.9	10.1	14.4	14.4	32.4	53.2	64.4	54.2
10860	205	6404	134735	Chelsea Independent College	 	IND	0	NP	NP	NP	0.22	0.05	0.27	0.0	15.9	1.5	5.6	6.1	2.7	NP	NP	NP	NA
19528	205	4001	141135	Fulham Boys School	 	F	0					NA			 	 	 	 	 	 	 	 	NA
19530	205	4106	139364	Fulham College Boys' School	 	ACC	0	0.32	0.57	0.11	0.46	0.14	0.47	0.45	44.5	9.8	8.5	11.3	10.3	34.4	43.9	55.7	NA
19532	205	4315	139365	Fulham Cross Girls' School and Language College	 	ACC	0	0.2	0.5	0.3	0.76	0.44	0.72	0.72	56.9	11.7	11.1	15.6	15.9	41.4	57.2	67.5	NA
20388	205	6291	100369	The Godolphin and Latymer School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	22.7	7.8	0	2.2	9.7	NP	NP	NP	NA
22268	205	6906	136172	Hammersmith Academy	 	AC	0	0.13	0.54	0.33	0.67	NA	0.67	0.6	52.7	11	10.6	15.8	14.2	30.4	50.9	62.9	NA
26442	205	4002	141617	The Hurlingham Academy	 	AC	0	0.33	0.46	0.2	0.71	NA	0.71	0.63	49.4	10.7	9.9	12.7	9.7	37.3	50.6	56.2	NA
29424	205	4632	138607	Lady Margaret School	 	ACC	0	0.05	0.34	0.62	0.88	0.5	0.8	0.82	61.5	12.5	12.2	18.2	18.6	SUPP	53.6	67.5	NA
30028	205	6306	100370	Latymer Upper School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	24.1	7.5	0	8.5	6	NP	NP	NP	NA
31372	205	5400	137157	The London Oratory School	 	ACC	1	0.03	0.34	0.63	0.88	0.71	0.87	0.87	65	13.4	12.6	19.8	18.8	SUPP	56.2	70.5	NA
40600	205	4004	143129	Phoenix High School	 	AC	0								 	 	 	 	 	 	 	 	 
44796	205	4620	137935	Sacred Heart High School	 	ACC	0	0.01	0.35	0.64	0.87	0.61	0.88	0.85	64.7	13.5	12.5	19.2	19.6	SUPP	55.2	70.5	NA
47436	205	6399	100527	St James Senior Girls' School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	49.1	14.3	0	19.3	14.8	NP	NP	NP	NA
50728	205	6011	100366	St Paul's Girls' School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	48.7	8	0	23.9	4.1	NP	NP	NP	NA
57918	205	6405	136504	TLG West London	 	IND	0	NP	NP	NP	SUPP	NA	NE	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
60822	205	4000	136750	West London Free School	 	F	0	0.08	0.42	0.5	0.77	NA	0.77	0.7	58.7	12.2	11.8	17.5	16.9	32.5	53.5	67.7	NA
64322	205	6200	135729	Young Dancers Academy	 	IND	0	NP	NP	NP	0.67	0.0	0.8	0.67	46.6	12.9	10	12.3	11.3	NP	NP	NP	NA
2458	206	4325	131690	Arts and Media School Islington	 	FD	0	0.26	0.59	0.15	0.59	0.2	0.58	0.52	47.8	11	9.7	13.4	12.6	39.7	48.5	64.8	NA
10236	206	4614	100458	Central Foundation Boys' School	 	VA	0	0.12	0.59	0.29	0.85	0.34	0.84	0.81	58.2	11.7	12.1	17	17.2	38.5	57.2	68.6	NA
11824	206	6906	135587	City of London Academy Islington	 	AC	0	0.26	0.56	0.18	0.68	0.26	0.63	0.64	54.4	11.9	9.6	15.4	11.9	42.8	55.4	67.8	NA
16908	206	4324	100457	Elizabeth Garrett Anderson School	 	CY	0	0.13	0.6	0.27	0.74	0.4	0.7	0.66	53.9	11.5	10.4	15	17	33.9	53.6	66.1	NA
24398	206	4307	100455	Highbury Fields School	 	CY	0	0.21	0.56	0.23	0.7	0.35	0.66	0.64	53	11.7	10.3	14.3	13.6	39.5	53.8	64.3	NA
24400	206	4108	100452	Highbury Grove School	 	CY	0	0.2	0.56	0.23	0.45	0.14	0.46	0.41	45.5	10	8.9	13.3	12.7	32	44.3	61.3	NA
25154	206	4112	100453	Holloway School	 	CY	0	0.21	0.61	0.18	0.37	0.11	0.43	0.32	46	8.6	8.9	12.9	8.9	30.4	48.3	55.3	NA
27100	206	6162	100461	Italia Conti Academy of Theatre Arts	 	IND	0	NP	NP	NP	0.53	0.0	0.52	0.53	50.2	10.7	8.9	13.4	17.1	NP	NP	NP	NA
35244	206	4704	100460	Mount Carmel Catholic College for Girls	 	VA	0	0.23	0.65	0.11	0.61	0.22	0.56	0.59	48.2	10.8	8.9	13.4	14.1	35	50.6	61.9	NA
45014	206	4651	100459	St Aloysius RC College	 	VA	0	0.15	0.58	0.27	0.76	0.4	0.71	0.66	53.9	11.3	10.5	15.5	13.2	36.9	53.9	63.1	NA
49120	206	6905	134314	St Mary Magdalene Academy	 	AC	1	0.09	0.58	0.33	0.82	0.31	0.73	0.77	53	11.8	11.7	11.9	12.8	37.3	49.6	63.4	NA
2538	207	6348	100537	Ashbourne Independent School	 	IND	0	NP	NP	NP	0.76	0.15	0.78	0.71	54.1	10.9	10.3	18.8	14.1	NP	NP	NP	NA
9556	207	5402	141931	The Cardinal Vaughan Memorial RC School	 	ACC	0	0.04	0.39	0.58	0.88	0.46	0.88	0.84	63	12.9	12.3	18.8	18.9	SUPP	53.8	71.1	59.8
10854	207	6905	135531	Chelsea Academy	 	AC	0	0.11	0.64	0.25	0.72	0.28	0.69	0.66	55	11.2	10.6	15.1	10.7	38.6	54.2	65.9	NA
12552	207	6362	100539	Collingham	 	IND	0	NP	NP	NP	0.0	0.0	0.04	0.0	15.6	0	8.5	2.1	5.1	NP	NP	NP	NA
14538	207	6386	100544	David Game College	 	IND	0	NP	NP	NP	0.04	0.0	0.01	0.0	7.8	0.2	1	2.8	3.5	NP	NP	NP	NA
15780	207	6262	100526	Duff Miller College	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	9.4	0.8	0	2.5	6.1	NP	NP	NP	NA
17432	207	6007	140225	Epic Learning	 	IND	0	NP	NP	NP	NE	NA	NE	NE	NE	NE	NE	NE	NE	NP	NP	NP	NA
25106	207	4320	140134	Holland Park School	 	ACC	0	0.1	0.41	0.48	0.82	0.61	0.81	0.8	61.4	12.4	11.5	18.6	16.4	45.1	57	68.5	59.5
27862	207	4000	140212	Kensington Aldridge Academy	 	AC	0					NA			 	 	 	 	 	 	 	 	NA
32008	207	6391	100547	Lycee Francais Charles de Gaulle	 	IND	0	NP	NP	NP	0.28	0.0	0.53	0.26	21.2	8.3	4	6.4	2.4	NP	NP	NP	NA
32528	207	6363	100540	Mander Portman Woodward School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	9.7	2.8	0	2.5	4.5	NP	NP	NP	NA
34984	207	6202	100521	More House School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	44.9	11.3	0	16.4	17.2	NP	NP	NP	NA
41988	207	6026	100511	Queen's Gate School	 	IND	0	NP	NP	NP	0.34	0.0	0.12	0.32	48.7	14.2	4.8	12.5	17.2	NP	NP	NP	NA
51610	207	4681	100502	Saint Thomas More Language College	 	VA	0	0.12	0.56	0.32	0.66	0.32	0.64	0.52	52.5	11.3	10.2	15.1	14.8	36.1	49.5	64.9	NA
53636	207	4801	100503	Sion-Manning Catholic Girls' School	 	VA	0	0.21	0.52	0.27	0.72	0.19	0.62	0.65	51.6	11.5	10.2	13.3	15.2	33.9	52.4	60	NA
56734	207	6396	131778	Tabernacle School	 	IND	0	NP	NP	NP	SUPP	SUPP	0.42	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
61254	207	6009	140603	Westminster Tutors	 	IND	0	NP	NP	NP	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
2208	208	5403	100640	Archbishop Tenison's School	 	VA	0	0.18	0.59	0.23	0.61	0.05	0.56	0.39	46	10	9.4	12	13.6	30.4	46.7	56.5	NA
2316	208	6906	135389	Ark Evelyn Grace Academy	 	AC	0	0.26	0.51	0.23	0.48	0.26	0.51	0.39	46.8	10.1	9.5	12.1	13.1	32.7	47.1	63.7	NA
5594	208	5401	100638	Bishop Thomas Grant Catholic Secondary School	 	VA	0	0.13	0.45	0.42	0.86	0.31	0.81	0.84	60.2	12.8	12	17.5	15.7	37.3	57.7	69.8	NA
11804	208	6907	137954	City Heights E-ACT Academy	 	AC	0					NA			 	 	 	 	 	 	 	 	NA
15216	208	6004	100529	DLD College London	 	IND	0	NP	NP	NP	0.16	0.0	0.13	0.0	17.5	1.3	6.4	5.2	4.6	NP	NP	NP	NA
15882	208	5402	137093	Dunraven School	 	ACC	1	0.15	0.5	0.35	0.68	0.37	0.69	0.62	51.4	11.9	10.2	12.2	10.4	34.9	47.6	63.9	53.9
15918	208	5207	136288	Durand Academy	 	ACC	1					NA			 	 	 	 	 	 	 	 	NA
17070	208	4731	129649	The Elmgreen School	 	VC	0	0.22	0.6	0.18	0.47	0.25	0.43	0.42	47	10.3	8.6	13.3	13.1	32.9	46.4	59.9	NA
29342	208	5400	100637	La Retraite Roman Catholic Girls' School	 	VA	0	0.13	0.57	0.3	0.72	0.55	0.79	0.67	55.1	11.3	10.8	15.9	16.1	39.2	53.2	65.1	NA
29554	208	6905	134815	Lambeth Academy	 	AC	0	0.18	0.64	0.18	0.59	0.18	0.58	0.56	48.4	10.8	9.2	12.5	11.1	33.6	49.9	61.6	NA
30694	208	4321	100625	Lilian Baylis Technology School	 	CY	0	0.31	0.51	0.18	0.61	0.22	0.55	0.56	51	10.1	10	15.4	13.3	41.5	53.2	62.4	47.1
31370	208	5405	100642	London Nautical School	 	FD	0	0.08	0.47	0.45	0.7	0.27	0.7	0.6	51	11.2	10.5	14	13.5	35.5	47	58	NA
37388	208	4223	100624	Norwood School	 	CY	0	0.19	0.56	0.26	0.62	0.25	0.56	0.59	48.5	10.8	9.1	14.3	13.2	30.1	50.5	60.8	NA
38042	208	4000	139659	Oasis Academy South Bank	 	F	0	SUPP	SUPP	SUPP	SUPP	NA	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NA
40882	208	4322	136450	Platanos College	 	ACC	0	0.17	0.59	0.24	0.73	0.26	0.64	0.7	54.6	10.9	10.8	16	12.9	42.1	54	64.8	NA
46808	208	4509	100627	Saint Gabriel's College	 	VA	0	0.25	0.72	0.03	0.7	0.34	0.57	0.53	46.8	10.9	9.6	12.8	13.5	40.4	48.7	SUPP	NA
48978	208	5404	137966	St Martin in the Fields High School for Girls	 	ACC	0	0.1	0.63	0.26	0.57	0.28	0.62	0.55	49.6	11.4	9.3	13.3	14.6	33.3	47.4	60.9	NA
54170	208	4005	142905	South Bank Engineering UTC	 	FUTC	0								 	 	 	 	 	 	 	 	 
56028	208	6311	100648	Streatham and Clapham High School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	45	7.3	0	19.6	17.4	NP	NP	NP	NA
58348	208	4003	140966	Trinity Academy	 	F	0					NA			 	 	 	 	 	 	 	 	NA
63528	208	2657	100590	Woodmansterne School	 	CY	1					0.0			 	 	 	 	 	 	 	 	NA
476	209	4600	100748	Addey and Stanhope School	 	VA	0	0.21	0.49	0.3	0.59	0.02	0.58	0.58	45.5	10.8	8.5	12.2	12.2	18.4	47.3	59.4	NA
6290	209	4802	100752	Bonus Pastor Catholic College	 	VA	0	0.16	0.56	0.27	0.71	0.06	0.69	0.65	53.6	10.9	10.8	15.2	16.7	38.1	52.3	67.4	NA
12784	209	4249	100742	Conisborough College	 	CY	0	0.19	0.54	0.27	0.51	0.13	0.5	0.43	45.3	10.1	8.6	12.4	11.7	20	46.4	60.1	NA
14910	209	4047	100740	Deptford Green School	 	CY	0	0.23	0.56	0.21	0.66	0.18	0.55	0.62	47.5	10.6	10.2	11	12.9	29.4	48.4	65.4	NA
18958	209	4289	100745	Forest Hill School	 	CY	0	0.14	0.53	0.33	0.43	0.24	0.56	0.39	46.6	9.4	9.1	13	11.8	27.9	43	61.8	NA
21914	209	6905	135073	Haberdashers' Aske's Hatcham College	 	AC	1	0.12	0.54	0.34	0.7	0.33	0.65	0.65	54.1	11.5	10.5	15.3	14.7	35.5	51.2	64	52.9
21918	209	6906	135070	Haberdashers' Aske's Knights Academy	 	AC	1	0.18	0.55	0.26	0.51	0.16	0.56	0.42	45.7	9.9	9.6	11.7	12.4	27	44.6	61.3	NA
30654	209	6001	141018	Life In London Uk	 	IND	0	NP	NP	NP	0.0	SUPP	0.0	0.0	0.9	0	0	0	0.9	NP	NP	NP	NA
32846	209	6409	135901	Marathon Science School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	19.6	3.7	0	10.1	5.8	NP	NP	NP	NA
41270	209	4323	100747	Prendergast Ladywell School	 	FD	1	0.26	0.54	0.2	0.43	0.06	0.39	0.34	43.2	9.3	7.9	11.1	8.4	28.4	46.4	59.5	NA
41272	209	4646	100750	Prendergast School	 	VA	0	0.08	0.53	0.39	0.68	0.45	0.73	0.66	56.1	12.6	10.3	15.8	16.9	41	50.9	66.1	NA
41274	209	5201	135843	Prendergast Vale School	 	FD	1	0.18	0.61	0.21	0.59	NA	0.59	0.52	50.6	11.1	9.5	15	14.3	35.3	51	64.6	NA
46466	209	6032	100754	St Dunstan's College	 	IND	0	NP	NP	NP	0.9	0.65	0.91	0.0	58.6	6.3	13.3	21	18.1	NP	NP	NP	NA
49852	209	6907	135264	St Matthew Academy	 	AC	1	0.26	0.56	0.18	0.6	0.11	0.53	0.55	48.5	10.5	9.5	12.4	10.6	32.3	52.5	62.5	NA
52600	209	4267	100743	Sedgehill School	 	CY	0	0.25	0.58	0.18	0.42	0.14	0.48	0.35	41.3	8.9	7.7	10.7	13.4	27.4	40.9	56.1	NA
56692	209	6309	100757	Sydenham High School GDST	 	IND	0	NP	NP	NP	0.96	0.0	0.96	0.96	61.9	14.6	12.9	15.3	18	NP	NP	NP	NA
56696	209	4204	100741	Sydenham School	 	CY	0	0.11	0.57	0.31	0.72	0.35	0.64	0.64	54.6	11.6	10.4	14.8	14.2	39.7	52.6	66.4	NA
58392	209	4636	100749	Trinity Church of England School, Lewisham	 	VA	1	0.14	0.52	0.34	0.58	0.16	0.52	0.53	49.3	10.1	9.9	14.2	13.1	32.8	45.4	61.6	NA
1340	210	6312	100864	Alleyn's School	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	60.4	15.4	0	22.9	14.1	NP	NP	NP	NA
2286	210	4001	139718	Ark All Saints Academy	 	AC	0					NA			 	 	 	 	 	 	 	 	NA
2320	210	6912	135584	Ark Globe Academy	 	AC	1	0.33	0.51	0.16	0.61	0.2	0.58	0.46	45.6	10.1	9.6	9.8	9.3	35.6	48.5	61.1	NA
2358	210	6909	135315	Ark Walworth Academy	 	AC	0	0.17	0.64	0.18	0.57	0.29	0.57	0.5	48.3	10	9.3	13.4	10.3	34.2	48.4	60.6	NA
3240	210	6911	135401	Bacon's College	 	AC	0	0.09	0.54	0.37	0.56	0.24	0.59	0.53	48.8	10.6	9.6	13.2	14.1	32.1	43.5	60.2	NA
6358	210	6006	141562	Bosco Centre College	 	IND	0	NP	NP	NP	SUPP	NA	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
10640	210	4318	136298	The Charter School	 	ACC	0	0.07	0.56	0.37	0.77	0.46	0.75	0.75	57	12.2	11	15.9	16.4	38.8	52.7	68.1	NA
11822	210	6905	134222	City of London Academy (Southwark)	 	AC	0	0.05	0.51	0.44	0.79	0.17	0.69	0.76	57.4	12.1	11.1	15.6	12.6	40.7	53.7	64.2	NA
12732	210	4000	139587	Compass School Southwark	 	F	0					NA			 	 	 	 	 	 	 	 	NA
15810	210	6000	100861	Dulwich College	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	31	0	0	20.3	8.8	NP	NP	NP	NA
