ALPHAIND	LEA	ESTAB	URN	SCHNAME	SCHNAME_AC	NFTYPE	TABKS2	PTPRIORLO	PTPRIORAV	PTPRIORHI	PTL2BASICS_LL_PTQ_EE	PTEBACC_15_PTQ_EE	PTL2BASICS_3YR_PTQ_EE	PTAC5EM_PTQ_EE	ATT8SCR	ATT8SCRENG	ATT8SCRMAT	ATT8SCREBAC	ATT8SCROPENG	ATT8SCR_LO	ATT8SCR_AV	ATT8SCR_HI	ATT8SCR_15
5770	889	4799	134906	Blackburn Central High School	 	FD	0	0.2	0.65	0.15	0.54	0.11	0.48	0.44	45.5	10.1	8.5	12.9	9.1	32.1	46.8	62.7	NA
14472	889	6905	135580	Darwen Aldridge Community Academy	 	AC	0	0.16	0.56	0.29	0.67	0.08	0.55	0.59	49.7	10.9	10.1	11.3	12.9	32.7	48.7	61.5	NA
14474	889	4002	139924	Darwen Aldridge Enterprise Studio	 	FSS	0	0.39	0.43	0.17	0.04	0.0	0.04	0.04	21.8	5.5	5	2.8	5.6	14.8	25	SUPP	NA
14484	889	4004	141321	Darwen Vale High School	 	AC	0	0.12	0.55	0.33	0.55	NA	0.55	0.52	46.3	10.4	9.2	12.4	12.1	27.3	42.8	59.5	NA
27056	889	6007	132749	Islamiyah School	 	IND	0	NP	NP	NP	0.77	0.49	0.68	0.7	59.9	11.9	11.2	18.4	18.4	NP	NP	NP	NA
27246	889	6005	131389	Jamiatul-Ilm Wal-Huda UK School	 	IND	0	NP	NP	NP	1.0	0.92	0.93	0.98	64.2	12.7	12.2	20	19.3	NP	NP	NP	NA
32964	889	6009	133541	Markazul Uloom	 	IND	0	NP	NP	NP	0.76	0.24	0.55	0.68	52.4	11.2	10.8	16.2	14.2	NP	NP	NP	NA
38842	889	4629	119790	Our Lady and St John Catholic College	 	VA	0	0.25	0.59	0.16	0.41	0.05	0.43	0.34	46.4	9.7	8.7	12.6	9.7	33.3	48	61.3	NA
40900	889	4005	142088	Pleckgate High School	 	AC	0								 	 	 	 	 	 	 	 	 
41918	889	6001	141165	Queen Elizabeth's Grammar School	 	F	1	0.01	0.54	0.44	0.86	0.62	0.85	0.76	58.3	11.9	12	17.1	17.4	SUPP	53.2	64.6	NA
45782	889	4632	119793	St Bede's Roman Catholic High School, Blackburn	 	VA	0	0.11	0.54	0.35	0.74	0.24	0.71	0.7	54.3	10.9	10.6	15.3	12.9	32.1	53.4	63.9	NA
51802	889	5406	136900	St Wilfrid's Church of England Academy	 	ACC	0	0.1	0.54	0.36	0.66	0.19	0.72	0.65	52.9	11.2	9.9	15	14.8	33.5	50.3	62.4	NA
56906	889	4000	138220	Tauheedul Islam Boys' High School	 	F	0	0.13	0.6	0.28	0.95	NA	0.95	0.93	61.8	12.3	12.5	17.8	15.8	50.3	60.8	69.7	NA
56908	889	4800	141565	Tauheedul Islam Girls' High School	 	ACC	0	0.14	0.53	0.33	0.97	0.74	0.94	0.93	64.8	13.2	12.6	19.3	19.5	47.9	63.9	73.6	63.2
61192	889	6000	119826	Westholme School	 	IND	0	NP	NP	NP	0.88	0.5	0.87	0.83	62.9	12.6	11.6	18.9	19.8	NP	NP	NP	NA
62974	889	4048	140879	Witton Park High School	 	ACC	0	0.28	0.48	0.25	0.66	0.23	0.55	0.59	49.6	10.1	9.4	14.3	9.9	31.3	53.3	63.8	NA
5840	890	4002	141132	Blackpool Aspire Academy	 	AC	0	0.22	0.59	0.19	0.41	0.07	0.42	0.34	40.5	8.6	8.3	11.3	7.2	30.1	40.9	51.1	NA
24482	890	4003	142469	Highfield Leadership Academy	 	AC	0								 	 	 	 	 	 	 	 	 
34754	890	4057	137973	Montgomery High School	 	ACC	0	0.16	0.57	0.27	0.62	0.2	0.61	0.58	48.9	10.6	9.2	12.9	8.8	28.8	48.1	62.4	NA
46998	890	4405	140759	St George's School A Church of England Academy	 	ACC	0	0.27	0.44	0.29	0.54	0.06	0.52	0.5	46.5	10	8.9	12.5	12.7	29.2	46.4	63.5	NA
49212	890	4601	141257	St Mary's Catholic Academy	 	ACC	0	0.23	0.48	0.29	0.59	0.11	0.54	0.55	50	10.4	9.5	14	13.1	37.4	49.3	60.8	NA
54358	890	4001	140021	South Shore Academy	 	AC	0	0.31	0.55	0.14	0.34	0.07	0.34	0.3	43.4	8.4	8.1	10	6.1	34.8	43.9	57.9	NA
58872	890	4000	139675	Unity Academy Blackpool	 	AC	1	0.33	0.51	0.16	0.42	0.03	0.42	0.37	44.2	9.8	8.1	10.9	8.3	30.8	48.4	59.8	NA
844	891	4117	138832	Alderman White School	 	ACC	0	0.16	0.49	0.35	0.7	0.34	0.59	0.62	49.8	10.9	10.3	13.3	12.4	27.4	45.4	65.9	NA
1084	891	4756	140698	All Saints Catholic Voluntary Academy	 	ACC	0	0.18	0.47	0.35	0.69	0.28	0.7	0.68	53.1	11.6	10.1	15.2	16.1	28.9	53.6	64.9	NA
2416	891	4091	137536	Arnold Hill Academy	 	ACC	0	0.13	0.53	0.35	0.6	0.32	0.6	0.52	51.7	10.5	10.4	15.1	13.7	32.3	48	64.5	NA
2612	891	4009	137981	Ashfield Comprehensive School	 	ACC	0	0.15	0.58	0.27	0.58	0.2	0.57	0.47	50.8	10.1	9.4	14.4	8	32.2	50.3	63.3	NA
4240	891	4617	137409	The Becket School	 	ACC	0	0.04	0.4	0.56	0.82	0.42	0.74	0.77	58.1	11.5	11.2	17.1	17.4	30.1	50.8	65.6	NA
6832	891	4119	138837	The Bramcote School	 	ACC	0	0.12	0.52	0.36	0.58	0.09	0.51	0.55	49.1	10.1	9.7	13.5	11.2	24.7	46.4	61.1	NA
8330	891	4463	137763	The Brunts Academy	 	ACC	0	0.21	0.47	0.32	0.64	0.24	0.6	0.55	49.1	10	9.9	13.8	12	30.2	48.5	63.3	NA
9606	891	4005	137085	Carlton Academy	 	AC	0	0.18	0.49	0.33	0.7	0.17	0.67	0.68	52.3	10.7	10	13.3	9.4	36.8	50.4	63.4	NA
9626	891	4107	136627	Carlton le Willows Academy	 	ACC	0	0.09	0.47	0.44	0.77	0.28	0.75	0.69	54	11.1	11.5	15.3	15.2	30.2	49	64	NA
11232	891	4121	122854	Chilwell School	 	FD	0	0.13	0.55	0.32	0.66	0.2	0.66	0.6	49.9	10.5	10.1	14	14.1	22.6	48.8	62.9	NA
11540	891	4700	138810	Christ The King Voluntary Academy	 	ACC	0	0.11	0.61	0.28	0.68	0.22	0.6	0.63	49.1	10.4	8.9	13.4	13.8	31.1	47.9	60.6	NA
12628	891	4409	122867	Colonel Frank Seely Comprehensive School	 	CY	0	0.08	0.56	0.36	0.59	0.17	0.54	0.5	47.7	10.3	9.3	13.5	11.8	24.1	44.3	58.2	NA
15796	891	4014	139062	The Dukeries Academy	 	AC	0	0.19	0.61	0.19	0.54	0.17	0.43	0.49	48.9	10.2	8.9	11.9	8.2	31.1	50.3	63.6	NA
16208	891	4413	138964	East Leake Academy	 	ACC	0	0.07	0.5	0.43	0.69	0.23	0.61	0.65	49.3	10.5	10	13.4	13.4	25.5	43.5	60	NA
16918	891	4456	138076	The Elizabethan Academy	 	ACC	0	0.18	0.57	0.25	0.55	0.21	0.54	0.51	46.9	9.8	9.3	13	12.4	31.2	46.6	59.6	NA
19746	891	4041	122830	Garibaldi College	 	CY	0	0.17	0.6	0.23	0.66	0.03	0.62	0.61	51.2	11.3	9.5	14.1	8.3	36.9	51.7	63.6	NA
19986	891	5401	136291	George Spencer Academy and Technology College	 	ACC	0	0.07	0.5	0.43	0.79	0.42	0.74	0.75	57.7	12.2	11.4	16.2	15.5	39.4	52.9	66.1	NA
22122	891	4019	140992	Hall Park Academy	 	AC	0	0.24	0.51	0.26	0.66	0.04	0.64	0.62	53.4	10.3	10.4	14.3	8.7	39.9	53.3	66.2	NA
25082	891	4016	139956	Holgate Academy	 	AC	0	0.23	0.59	0.18	0.54	0.18	0.52	0.5	44.2	9.5	8.9	11.7	10.1	30.4	46.3	55.2	NA
27596	891	4408	137628	Joseph Whitaker School	 	ACC	0	0.14	0.57	0.3	0.7	0.16	0.57	0.63	54.1	11	10.2	15.2	12.7	34.6	52	68.3	NA
27624	891	6035	131998	Jubilee House Christian School	 	IND	0	NP	NP	NP	SUPP	0.0	0.0	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
28180	891	4226	138641	The Kimberley School	 	ACC	0	0.1	0.52	0.38	0.63	0.22	0.56	0.55	49.2	10.1	10.2	14.2	14.6	28	45.3	60.8	NA
29050	891	4008	138481	Kirkby College	 	ACC	0	0.19	0.6	0.21	0.43	0.08	0.43	0.36	39.7	8.8	8.1	9.7	7.2	16	40.3	60.1	NA
29580	891	6016	122937	Lammas School	 	IND	0	NP	NP	NP	SUPP	SUPP	0.62	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
32280	891	4017	140549	Magnus Church of England Academy	 	AC	0	0.32	0.52	0.16	0.42	0.03	0.41	0.38	42.6	8.5	7.8	10.1	7.3	27.4	46.2	60	NA
32578	891	4032	137158	The Manor Academy	 	ACC	0	0.2	0.54	0.26	0.64	0.21	0.49	0.51	46.7	10.7	9.5	12.9	11.4	26.3	46.6	63	NA
