DFE_NUMBER,URN,COHORT,OVERALL,EDUCATION,HE,TOP_3RD,OXBRIDGE,RUSSELL,OTHERHE,FE,OTHER_EDU,EMPLOYMENT,NOT_SUSTAINED,NOT_CAPTURED,APPREN,GAP,OVERALLPER,EDUCATIONPER,HEPER,TOP_3RDPER,OXBRIDGEPER,RUSSELLPER,OTHERHEPER,FEPER,OTHER_EDUPER,EMPLOYMENTPER,NOT_SUSTAINEDPER,NOT_CAPTUREDPER,APPRENPER,GAPPER
8604002,137100,58,53,42,36,5,0,0,31,6,0,11,SUPP,SUPP,6,SUPP,91%,72%,62%,9%,0%,0%,53%,10%,0%,19%,SUPP,SUPP,10%,SUPP
8604003,137103,58,53,42,36,5,0,0,31,6,0,11,SUPP,SUPP,6,SUPP,91%,72%,62%,9%,0%,0%,53%,10%,0%,19%,SUPP,SUPP,10%,SUPP
8604005,137164,34,30,26,20,5,0,5,15,6,0,4,SUPP,SUPP,SUPP,SUPP,88%,76%,59%,15%,0%,15%,44%,18%,0%,12%,SUPP,SUPP,SUPP,SUPP
8604051,124391,50,43,29,17,3,0,SUPP,14,SUPP,SUPP,14,SUPP,SUPP,5,SUPP,86%,58%,34%,6%,0%,SUPP,28%,SUPP,SUPP,28%,SUPP,SUPP,10%,SUPP
8604055,124392,53,46,35,28,SUPP,0,SUPP,SUPP,SUPP,SUPP,11,SUPP,SUPP,9,4,87%,66%,53%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,21%,SUPP,SUPP,17%,8%
8604061,136323,170,156,132,120,60,SUPP,46,60,SUPP,SUPP,24,SUPP,SUPP,10,4,92%,78%,71%,35%,SUPP,27%,35%,SUPP,SUPP,14%,SUPP,SUPP,6%,2%
8604066,124395,11,11,7,4,SUPP,0,SUPP,SUPP,3,0,4,0,0,4,SUPP,100%,64%,36%,SUPP,0%,SUPP,SUPP,27%,0%,36%,0%,0%,36%,SUPP
8604067,124396,59,55,35,25,15,0,10,10,SUPP,SUPP,20,4,0,12,SUPP,93%,59%,42%,25%,0%,17%,17%,SUPP,SUPP,34%,7%,0%,20%,SUPP
8604070,142313,75,70,52,44,8,0,4,36,SUPP,SUPP,18,SUPP,SUPP,7,5,93%,69%,59%,11%,0%,5%,48%,SUPP,SUPP,24%,SUPP,SUPP,9%,7%
8604072,124399,162,149,111,92,29,0,19,63,15,4,38,10,3,14,4,92%,69%,57%,18%,0%,12%,39%,9%,2%,23%,6%,2%,9%,2%
8604075,124400,137,117,93,75,21,0,14,54,15,3,24,17,3,14,SUPP,85%,68%,55%,15%,0%,10%,39%,11%,2%,18%,12%,2%,10%,SUPP
8604079,124402,51,48,39,35,6,0,SUPP,29,SUPP,SUPP,9,3,0,SUPP,SUPP,94%,76%,69%,12%,0%,SUPP,57%,SUPP,SUPP,18%,6%,0%,SUPP,SUPP
8604084,139708,25,24,18,11,0,0,0,11,4,3,6,SUPP,SUPP,3,SUPP,96%,72%,44%,0%,0%,0%,44%,16%,12%,24%,SUPP,SUPP,12%,SUPP
8604085,124406,23,23,17,13,6,SUPP,4,7,SUPP,SUPP,6,0,0,SUPP,SUPP,100%,74%,57%,26%,SUPP,17%,30%,SUPP,SUPP,26%,0%,0%,SUPP,SUPP
8604086,124407,109,97,76,67,31,SUPP,21,36,SUPP,SUPP,21,9,3,6,7,89%,70%,61%,28%,SUPP,19%,33%,SUPP,SUPP,19%,8%,3%,6%,6%
8604087,124408,132,122,92,75,38,0,25,37,8,9,30,SUPP,SUPP,6,8,92%,70%,57%,29%,0%,19%,28%,6%,7%,23%,SUPP,SUPP,5%,6%
8604089,124409,40,31,21,16,7,SUPP,5,9,SUPP,SUPP,10,SUPP,SUPP,5,SUPP,78%,53%,40%,18%,SUPP,13%,23%,SUPP,SUPP,25%,SUPP,SUPP,13%,SUPP
8604100,124415,84,74,60,47,19,0,9,28,13,0,14,6,4,9,SUPP,88%,71%,56%,23%,0%,11%,33%,15%,0%,17%,7%,5%,11%,SUPP
8604111,124416,139,127,112,94,36,0,28,58,9,9,15,8,4,4,7,91%,81%,68%,26%,0%,20%,42%,6%,6%,11%,6%,3%,3%,5%
8604112,140123,81,76,54,40,17,0,9,23,SUPP,SUPP,22,5,0,11,4,94%,67%,49%,21%,0%,11%,28%,SUPP,SUPP,27%,6%,0%,14%,5%
8604126,124422,84,80,58,43,19,0,16,24,10,5,22,SUPP,SUPP,6,SUPP,95%,69%,51%,23%,0%,19%,29%,12%,6%,26%,SUPP,SUPP,7%,SUPP
8604140,124425,92,85,64,51,13,0,10,38,SUPP,SUPP,21,7,0,11,3,92%,70%,55%,14%,0%,11%,41%,SUPP,SUPP,23%,8%,0%,12%,3%
8604143,137356,98,84,61,46,10,SUPP,4,36,SUPP,SUPP,23,9,5,10,3,86%,62%,47%,10%,SUPP,4%,37%,SUPP,SUPP,23%,9%,5%,10%,3%
8604146,124430,157,147,94,75,33,3,21,42,9,10,53,5,5,8,7,94%,60%,48%,21%,2%,13%,27%,6%,6%,34%,3%,3%,5%,4%
8604153,136959,162,149,111,92,29,0,19,63,15,4,38,10,3,14,4,92%,69%,57%,18%,0%,12%,39%,9%,2%,23%,6%,2%,9%,2%
8604176,136414,111,103,82,70,27,0,25,43,8,4,21,SUPP,SUPP,8,5,93%,74%,63%,24%,0%,23%,39%,7%,4%,19%,SUPP,SUPP,7%,5%
8604178,124443,95,83,66,48,12,0,6,36,SUPP,SUPP,17,7,5,12,3,87%,69%,51%,13%,0%,6%,38%,SUPP,SUPP,18%,7%,5%,13%,3%
8604180,124444,52,51,43,35,9,0,6,26,SUPP,SUPP,8,SUPP,SUPP,SUPP,SUPP,98%,83%,67%,17%,0%,12%,50%,SUPP,SUPP,15%,SUPP,SUPP,SUPP,SUPP
8604181,124445,46,43,39,34,12,0,8,22,SUPP,SUPP,4,3,0,SUPP,SUPP,93%,85%,74%,26%,0%,17%,48%,SUPP,SUPP,9%,7%,0%,SUPP,SUPP
